No.;Fecha;Núm. Tickets;Hora entrada;1° peso;Hora Salida;2° peso;Neto (kg);Matrícula;Mes;Año
1;1/2/2025;36720SP;10:36:10 AM;26170;10:49:23 AM;16380;9790;AM-F-PP587082;ENERO;2025
2;1/2/2025;36768SP;1:04:56 PM;23600;1:40:09 PM;15440;8160;AM-F-L502505;ENERO;2025
3;1/2/2025;36796SP;2:05:15 PM;24700;2:54:32 PM;16550;8150;AM-F-PP587082;ENERO;2025
4;1/2/2025;36831SP;3:32:04 PM;29040;4:04:59 PM;19600;9440;AM-F-L485345;ENERO;2025
5;1/2/2025;36835SP;3:38:49 PM;26060;4:17:59 PM;16060;10000;AM-F-L013939;ENERO;2025
6;1/2/2025;36879SP;5:49:07 PM;27470;6:13:00 PM;16090;11380;AM-F-L464762;ENERO;2025
7;1/2/2025;36881SP;5:54:09 PM;25600;6:11:36 PM;16530;9070;AM-F-PP587082;ENERO;2025
8;1/2/2025;36888SP;6:24:00 PM;25240;6:43:42 PM;15380;9860;AM-F-L502505;ENERO;2025
9;1/3/2025;36958SP;8:59:25 AM;29360;9:21:26 AM;19550;9810;AM-F-L485345;ENERO;2025
10;1/3/2025;36969SP;9:46:41 AM;25270;10:04:08 AM;16480;8790;AM-F-PP587082;ENERO;2025
11;1/3/2025;36988SP;10:24:55 AM;25760;10:56:29 AM;15330;10430;AM-F-L502505;ENERO;2025
12;1/3/2025;37076SP;2:00:56 PM;25430;2:49:21 PM;16640;8790;AM-F-L013939;ENERO;2025
13;1/3/2025;37077SP;2:10:44 PM;25010;2:47:04 PM;16640;8370;AM-F-L439346;ENERO;2025
14;1/3/2025;37084SP;2:33:46 PM;24620;3:04:56 PM;15270;9350;AM-F-L502505;ENERO;2025
15;1/3/2025;37165SP;5:54:18 PM;27410;6:13:21 PM;15260;12150;AM-F-L502505;ENERO;2025
16;1/3/2025;37173SP;6:11:54 PM;30140;6:29:45 PM;16600;13540;AM-F-L439346;ENERO;2025
17;1/3/2025;37191SP;6:59:30 PM;26800;7:17:55 PM;16590;10210;AM-F-L013939;ENERO;2025
18;1/3/2025;37197SP;7:24:54 PM;27960;7:46:10 PM;16140;11820;AM-F-L464762;ENERO;2025
19;1/3/2025;37198SP;7:26:16 PM;32290;7:48:16 PM;19660;12630;AM-F-L485345;ENERO;2025
20;1/4/2025;37258SP;9:29:49 AM;25780;9:53:55 AM;16010;9770;AM-F-F019140;ENERO;2025
