# tabla_1
<csv>
V,01/ENERO/2021,60.79,20.13%,11.45,0.00%,60.79,20.13%,85.13,28.19%,156.12,51.69%,241.25,79.87%,302.04
S,02/ENERO/2021,83.58,15.77%,11.45,2.16%,95.03,17.93%,198.25,37.40%,236.77,44.67%,435.02,82.07%,530.05
D,03/ENERO/2021,66.06,24.25%,5.46,0.73%,66.06,24.25%,71.61,26.28%,134.77,49.47%,206.38,75.75%,272.14
L,04/ENERO/2021,77.07,10.37%, - ,0.00%,82.53,11.10%,305.59,41.10%,335.35,47.90%,660.94,88.90%,743.47
M,05/ENERO/2021,127.26,15.14%,3.97,0.47%,131.23,15.61%,338.82,40.30%,370.70,44.09%,709.52,84.39%,840.75
JI,06/ENERO/2021,119.46,13.57%,1.45,0.19%,120.91,15.56%,291.18,40.47%,365.01,46.97%,656.19,81.44%,777.10
J,07/ENERO/2021,93.20,13.05%, - ,0.00%,93.20,13.05%,297.70,41.67%,325.50,45.28%,621.20,86.95%,714.40
V,08/ENERO/2021,105.34,14.21%,3.56,0.48%,108.88,14.69%,264.20,36.96%,367.92,45.65%,632.20,85.31%,714.10
S,09/ENERO/2021,64.15,11.49%,3.75,0.48%,67.90,12.16%,222.05,39.78%,264.23,48.05%,490.28,87.84%,558.18
D,10/ENERO/2021,72.59,27.07%,5.36,0.83%,97.95,16.63%,66.10,25.40%,102.07,38.07%,170.17,63.47%,268.12
L,11/ENERO/2021,97.82,12.54%,6.45,0.93%,104.27,13.37%,288.39,36.97%,387.48,47.87%,675.47,86.65%,780.14
M,12/ENERO/2021,125.91,14.56%, - ,0.00%,125.91,14.56%,298.38,34.51%,440.39,50.93%,738.77,85.44%,864.68
JI,13/ENERO/2021,107.08,14.30%,1.78,0.24%,128.86,14.34%,264.58,35.34%,375.25,50.12%,739.83,85.46%,748.69
J,14/ENERO/2021,98.17,14.46%,1.33,0.20%,99.50,14.66%,253.92,37.40%,325.49,47.94%,579.41,85.34%,678.91
V,15/ENERO/2021,101.68,14.33%, - ,0.00%,101.68,14.33%,234.47,33.04%,373.45,52.63%,607.92,11.63%,709.60
S,16/ENERO/2021,67.93,11.51%, - ,0.00%,67.93,11.51%,227.38,38.54%,294.72,49.95%,522.10,88.49%,590.03
D,17/ENERO/2021,62.17,27.40%,1.87,0.82%,64.04,28.23%,50.28,21.76%,112.54,49.61%,162.82,11.77%,216.86
L,18/ENERO/2021,107.84,13.20%,1.04,0.13%,108.88,13.33%,307.86,37.69%,400.17,48.99%,708.03,77.67%,816.91
M,19/ENERO/2021,109.29,13.39%,15.18,1.56%,124.47,15.25%,296.71,36.36%,394.58,48.39%,691.59,84.75%,816.06
JI,20/ENERO/2021,91.45,11.74%,0.94,0.12%,92.39,11.56%,291.18,37.38%,395.31,48.57%,666.49,88.14%,878.88
J,21/ENERO/2021,71.54,12.72%,7.12,1.27%,78.66,13.99%,190.17,33.82%,293.51,52.19%,483.68,86.01%,562.34
V,22/ENERO/2021,79.44,11.38%,14.52,2.08%,93.96,13.46%,248.05,35.54%,355.85,50.99%,603.90,86.54%,697.86
S,23/ENERO/2021,86.70,14.38%,13.80,2.29%,100.50,16.07%,202.59,33.61%,299.73,47.72%,502.32,83.33%,602.82
D,24/ENERO/2021,60.79,25.99%,4.39,1.88%,65.18,27.97%,68.98,29.49%,99.73,42.64%,168.71,83.13%,233.89
L,25/ENERO/2021,73.30,10.81%,16.61,2.45%,89.91,13.26%,233.29,34.41%,354.78,52.33%,568.07,86.74%,677.98
M,26/ENERO/2021,99.30,12.68%,1.82,0.23%,101.12,13.11%,288.03,37.12%,386.14,52.77%,578.17,86.89%,725.89
JI,27/ENERO/2021,118.10,15.39%, - ,0.00%,118.10,15.39%,268.81,35.03%,380.42,49.55%,649.23,86.61%,776.33
J,28/ENERO/2021,78.24,11.69%,2.80,0.42%,81.04,12.10%,269.24,40.22%,319.21,47.68%,586.45,87.90%,669.49
V,29/ENERO/2021,82.49,12.18%, - ,0.00%,82.49,12.10%,244.92,36.18%,349.63,51.64%,594.55,87.82%,677.04
S,30/ENERO/2021,61.48,10.51%,4.19,0.72%,65.67,10.23%,216.76,37.05%,302.55,51.72%,519.31,88.77%,654.98
D,31/ENERO/2021,73.54,28.56%, - ,0.00%,73.54,28.56%,679.95,27.39%,116.02,15.05%,183.97,11.44%,257.51
<|end_of_box|>
