# tabla_1
<csv>
DIA,FECHA,AMS(ton,%),MECANIZADOS(ton,%),TOTAL_AYUNTAMIENTO(ton,%),CONVIVASTE_DOMINICANA(ton,%),URBALUZ(ton,%),COMLURSA(ton,%),TOTAL_PRIVADAS(ton,%)
D,01/FEBRERO/2019,92.20,17.73%,108.93,10.23%,195.23,29.08%,248.01,44.10%,119.13,17.75%,562.37,83%
S,02/FEBRERO/2019,78.12,12.71%,93.43,15.70%,187.30,30.48%,212.44,40.76%,121.42,19.75%,521.22,82%
D,03/FEBRERO/2019,51.63,19.36%,75.15,27.13%,351.0,12.67%,101.30,51.66%,62.49,22.56%,201.89,79%
M,04/FEBRERO/2019,106.85,12.64%,128.64,15.22%,255.61,30.25%,320.77,44.77%,140.08,18.58%,764.46,84%
L,05/FEBRERO/2019,96.55,12.41%,115.03,14.14%,226.30,29.40%,289.15,44.16%,139.27,18.09%,654.72,85
Mi,06/FEBRERO/2019,87.47,10.57%,103.26,14.33%,189.53,27.28%,263.34,44.43%,139.55,20.05%,594.72,85
J,07/FEBRERO/2019,82.10,11.63%,91.76,2.71%,173.18,24.54%,290.40,48.04%,140.94,19.97%,624.35,80
S,08/FEBRERO/2019,123.44,17.95%,149.17,3.33%,203.79,26.34%,265.38,42.49%,155.87,20.09%,624.64,80
D,09/FEBRERO/2019,78.12,12.70%,87.57,1.54%,186.97,30.39%,222.91,42.27%,117.57,19.12%,527.35,77
L,10/FEBRERO/2019,50.40,9.32%,60.22,1.66%,37.69,14.04%,98.61,47.36%,71.93,26.79%,208.23,73
M,11/FEBRERO/2019,104.90,18.77%,87.52,3.66%,388.85,29.05%,333.09,44.53%,156.05,17.51%,747.99,83
L,12/FEBRERO/2019,100.83,12.21%,143.31,16.07%,258.29,27.98%,294.74,45.51%,139.39,18.27%,647.64,83
Mi,13/FEBRERO/2019,106.97,14.02%,115.29,3.99%,213.51,27.08%,279.25,44.22%,139.23,18.35%,631.49,83
J,14/FEBRERO/2019,98.64,13.00%,127.05,3.73%,213.00,23.58%,287.31,47.65%,150.52,21.49%,602.97,86
V,15/FEBRERO/2019,85.30,12.81%,97.31,1.02%,165.14,30.98%,249.92,47.37%,132.55,19.51%,559.91,85
F,16/FEBRERO/2019,78.90,11.61%,89.90,1.62%,207.21,30.50%,249.06,41.53%,141.64,21.91%,551.58,85
D,17/FEBRERO/2019,84.22,13.65%,64.98,1.03%,180.36,27.98%,229.02,47.53%,132.52,19.51%,335.15,85
L,18/FEBRERO/2019,52.93,17.76%,9.96,3.34%,35.07,11.77%,111.10,47.25%,88.58,29.86%,233.15,78
M,19/FEBRERO/2019,115.70,17.92%,30.36,3.39%,259.93,29.43%,340.97,47.51%,148.38,16.57%,749.30,73
J,20/FEBRERO/2019,98.89,12.66%,8.45,1.10%,215.55,28.16%,293.39,44.15%,151.37,19.75%,660.11,86
V,21/FEBRERO/2019,68.57,9.54%,22.82,3.16%,205.69,28.30%,268.92,44.67%,155.41,21.54%,629.92,87
D,22/FEBRERO/2019,94.68,13.15%,13.38,1.86%,177.22,24.61%,293.88,48.01%,140.96,19.57%,612.06,84
L,23/FEBRERO/2019,91.75,13.34%,108.09,1.68%,209.04,24.48%,268.81,48.04%,146.67,19.98%,624.52,82
S,24/FEBRERO/2019,97.61,10.78%,73.74,1.00%,175.08,27.94%,241.56,43.69%,136.27,21.74%,552.91,86
L,25/FEBRERO/2019,76.53,13.07%,83.39,1.43%,316.8,10.23%,115.16,52.02%,74.52,24.07%,221.36,78
Mi,26/FEBRERO/2019,74.61,24.09%,13.73%,88.34,11.72%,171.68,10.24%,214.16,36.27%,143.42,24.06%,221.36,78
J,27/FEBRERO/2019,83.22,9.91%,11.60,1.41%,265.94,31.67%,332.42,44.63%,146.45,17.44%,744.81,68
V,28/FEBRERO/2019,113.48,14.13%,95.02,1.43%,222.33,31.69%,281.72,42.46%,159.48,19.86%,663.53,68
Mi,29/FEBRERO/2019,113.48,25.94%,139.42,4.23%,223.33,27.67%,281.72,42.46%,159.48,19.86%,663.53,68
J,30/FEBRERO/2019,76.30,11.72%,9.04,1.17%,173.76,28.35%,257.45,47.67%,108.81,17.75%,510.02,67
S,31/FEBRERO/2019,76.30,10.85%,96.2,1.37%,175.56,24.95%,287.73,46.58%,154.46,21.95%,617.75,67
# tabla_2
