ID,FECHA,AMS_TON,AMS_%,MECANIZADOS_TON,MECANIZADOS_%,TOTAL_AYUNTAMIENTO_TON,TOTAL_AYUNTAMIENTO_%,COMLURSA_TON,COMLURSA_%,URBALUZ_TON,URBALUZ_%,TOTAL_PRIVADAS_TON,TOTAL_PRIVADAS_%,TOTAL_GENERAL_TON
I,01/FEBRERO/2021,102.47,13.17%,3.28,0.42%,105.75,13.59%,258.57,37.09%,383.64,49.31%,672.21,86.41%,777.96
MI,02/FEBRERO/2021,90.83,12.07%,1.78,0.24%,92.61,12.30%,247.49,32.68%,412.68,54.82%,660.17,87.70%,752.78
J,03/FEBRERO/2021,106.66,13.49%,1.19,0.15%,107.85,13.64%,305.93,38.12%,377.13,46.24%,610.07,84.35%,723.22
V,04/FEBRERO/2021,109.61,13.16%,3.54,0.45%,113.15,14.05%,275.67,34.12%,334.40,51.73%,610.07,84.35%,693.85
S,05/FEBRERO/2021,75.04,10.82%,5.05,0.73%,80.09,11.54%,270.13,36.93%,413.63,49.33%,613.76,88.46%,565.62
D,06/FEBRERO/2021,66.14,9.69%,2.59,0.46%,68.73,10.21%,206.35,28.48%,290.54,51.37%,496.89,85.85%,563.62
L,07/FEBRERO/2021,81.77,33.92%,1.73,0.72%,83.50,34.64%,69.78,28.95%,877.77,36.41%,157.55,65.36%,441.05
M,08/FEBRERO/2021,83.98,13.75%,2.73,0.35%,86.71,11.04%,292.44,37.44%,401.93,51.46%,694.37,88.90%,781.08
NI,09/FEBRERO/2021,126.90,14.74%,3.56,0.41%,130.46,15.16%,308.21,35.81%,422.01,49.03%,730.22,84.84%,860.68
J,10/FEBRERO/2021,80.49,13.29%,3.29,1.81%,93.78,12.74%,262.82,35.71%,379.43,51.55%,642.25,87.26%,936.03
V,11/FEBRERO/2021,76.89,11.66%,2.73,0.41%,79.62,12.07%,245.94,37.28%,334.07,50.65%,580.01,87.93%,659.63
S,12/FEBRERO/2021,93.65,13.50%,3.99,0.59%,97.64,14.38%,217.37,32.02%,363.77,53.59%,581.14,85.62%,678.78
D,13/FEBRERO/2021,63.61,9.71%,8.45,1.29%,72.06,11.00%,273.37,41.74%,309.45,47.25%,582.82,89.00%,654.88
L,14/FEBRERO/2021,71.42,27.49%,-,0.00%,71.42,27.49%,91.17,34.09%,379.26,53.46%,588.43,87.51%,259.85
M,15/FEBRERO/2021,80.57,11.74%,4.50,0.65%,85.07,12.42%,236.32,35.22%,369.23,53.46%,605.55,87.68%,690.62
NI,16/FEBRERO/2021,100.51,11.12%,3.32,0.37%,103.83,11.49%,361.84,40.05%,437.85,48.46%,799.69,88.51%,901.52
J,17/FEBRERO/2021,89.31,11.14%,4.22,0.53%,93.53,11.47%,311.35,38.84%,396.81,48.50%,708.16,85.33%,801.69
V,18/FEBRERO/2021,92.70,12.97%,2.74,0.38%,95.44,13.35%,280.61,39.26%,338.67,47.38%,619.28,86.65%,714.72
S,19/FEBRERO/2021,73.65,10.99%,3.93,0.59%,77.58,11.58%,253.12,37.77%,339.49,50.66%,592.61,88.42%,670.19
D,20/FEBRERO/2021,54.16,8.81%,6.99,1.14%,61.15,9.95%,226.78,36.88%,326.93,53.17%,553.71,90.05%,614.86
L,21/FEBRERO/2021,81.07,8.81%,2.40,1.05%,86.32,12.47%,248.74,34.24%,123.17,53.92%,171.91,75.26%,228.43
M,22/FEBRERO/2021,54.12,21.69%,1.53,0.19%,56.65,10.74%,48.87,34.22%,426.01,51.63%,736.51,89.26%,825.11
J,23/FEBRERO/2021,87.07,10.55%,4.01,0.59%,88.60,13.75%,310.50,37.63%,394.59,51.09%,703.91,90.25%,779.97
V,24/FEBRERO/2021,72.05,9.24%,4.30,0.61%,76.06,9.72%,268.31,39.66%,391.97,50.51%,660.38,86.28%,765.40
S,25/FEBRERO/2021,99.72,13.03%,5.30,0.90%,105.02,15.72%,268.41,35.07%,391.97,51.21%,635.89,86.69%,717.01
D,26/FEBRERO/2021,79.16,11.04%,1.96,0.27%,81.12,11.31%,322.54,44.98%,313.35,43.70%,623.36,87.56%,711.75
L,27/FEBRERO/2021,85.60,12.04%,2.79,0.39%,88.39,12.41%,243.09,34.15%,430.27,53.43%,623.36,87.56%,711.75
M,28/FEBRERO/2021,76.52,11.96%,4.59,0.72%,81.01,12.68%,252.39,39.49%,305.69,47.83%,658.08,87.58%,717.09
NI,29/FEBRERO/2021,75.32,23.93%,1.10,0.35%,76.42,24.28%,91.87,41.92%,147.05,46.60%,238.92,75.72%,635.53
