COD,FECHA,TUN (%),AMS (%),MECANIZADOS (%),TOTAL AYUN AMBIENTO,TOTAL AYUN AMBIENTO (%),COMPLASAS,COMPLASAS (%),URBALUZ,URBALUZ (%),TOTAL PRIVADAS,TOTAL GENERAL
M,01/FEBRERO/2022,37.59%,4.54%,-,37.59,4.54%,390.99,41.07%,430.32,54.39%,745.31,842.90
N,02/FEBRERO/2022,40.24%,5.64%,-,40.24,5.64%,298.33,38.20%,427.32,55.16%,725.65,763.92
V,03/FEBRERO/2022,42.85,6.94%,2.03,45.68,6.39%,315.82,41.77%,367.20,47.30%,734.02,787.71
S,04/FEBRERO/2022,28.17,3.69%,8.00%,35.17,3.60%,257.79,33.15%,360.09,44.13%,619.18,721.71
D,05/FEBRERO/2022,37.23,5.98%,-,37.22,3.60%,249.65,31.93%,363.87,44.51%,696.37,681.54
L,06/FEBRERO/2022,21.31,9.26%,1.21%,14.11,1.83%,192.58,40.10%,114.23,49.43%,208.81,634.50
MI,07/FEBRERO/2022,36.37,4.63%,-,36.37,4.63%,316.70,41.30%,107.43,29.05%,214.80,731.86
I,08/FEBRERO/2022,14.54,1.95%,0.33%,12.87,1.69%,310.84,42.20%,107.91,29.15%,318.75,781.56
V,09/FEBRERO/2022,33.88,4.97%,-,33.88,4.72%,316.61,42.46%,105.74,33.22%,441.35,761.73
s,10/FEBRERO/2022,23.13,3.57%,0.32%,23.45,3.29%,310.80,41.96%,107.91,33.16%,321.71,740.00
D,11/FEBRERO/2022,23.52,3.70%,5.92%,23.00,3.67%,244.12,41.84%,139.51,55.11%,664.64,684.64
l,12/FEBRERO/2022,53.25,8.32%,-,53.24,8.07%,251.11,34.36%,377.31,56.27%,658.80,706.74
MI,13/FEBRERO/2022,39.12,6.10%,0.00%,39.12,6.10%,274.65,45.34%,273.88,45.34%,705.53,685.70
I,14/FEBRERO/2022,31.40,4.31%,6.93%,35.33,4.93%,263.32,43.62%,90.54,30.10%,165.50,681.62
V,15/FEBRERO/2022,31.85,5.98%,-,31.48,4.31%,297.84,41.15%,397.08,54.34%,694.92,758.91
s,16/FEBRERO/2022,28.87,3.90%,0.00%,28.85,4.03%,307.66,49.81%,419.61,54.26%,723.49,940.87
D,17/FEBRERO/2022,36.11,5.53%,1.39%,30.46,4.18%,364.57,47.89%,505.93,51.85%,693.52,773.31
l,18/FEBRERO/2022,38.71,5.35%,0.22%,38.66,5.48%,342.41,43.74%,537.40,51.56%,619.92,762.98
MI,19/FEBRERO/2022,27.72,3.92%,0.33%,29.01,4.23%,312.13,41.10%,365.60,31.65%,679.45,698.45
I,20/FEBRERO/2022,62.40,9.07%,2.19%,62.10,8.80%,251.74,44.11%,317.27,31.66%,619.92,698.45
V,21/FEBRERO/2022,42.72,6.00%,0.31%,42.03,5.83%,321.47,44.10%,365.60,31.66%,679.45,698.45
s,22/FEBRERO/2022,34.52,14.83%,0.00%,34.52,11.66%,180.99,44.10%,129.05,30.06%,561.04,631.99
D,23/FEBRERO/2022,35.85,14.77%,0.00%,35.85,12.77%,318.61,43.24%,391.21,52.64%,720.04,633.55
l,24/FEBRERO/2022,27.60,3.61%,0.00%,27.60,1.80%,285.80,34.70%,426.13,52.70%,716.33,761.30
MI,25/FEBRERO/2022,27.76,3.86%,0.00%,27.76,1.80%,305.23,40.73%,392.30,51.67%,711.93,763.59
I,26/FEBRERO/2022,31.44,4.39%,0.00%,31.44,4.30%,351.25,43.43%,598.36,51.67%,705.59,763.37
V,27/FEBRERO/2022,32.50,4.77%,0.00%,32.50,4.30%,577.80,43.43%,364.95,51.67%,694.79,728.73
s,28/FEBRERO/2022,30.72,7.43%,0.00%,30.72,7.85%,270.41,41.57%,364.95,41.09%,642.45,674.65
D,29/FEBRERO/2022,33.21,14.01%,0.00%,33.21,7.85%,485.61,41.87%,111.56,14.40%,494.14,674.65
l,30/FEBRERO/2022,30.71,7.43%,3.68%,30.71,8.42%,111.56,13.40%,400.34,47.48%,740.86,732.75
MI,31/FEBRERO/2022,19.70,2.68%,-,19.70,2.18%,313.52,38.10%,110.34,13.40%,200.17,732.75
