# DATOS_DE_MONTAJE
<csv>
DIA,FECHA,AMS_TON,AMS_%,MECANIZADOS_TON,MECANIZADOS_%,TOTAL_AYUNTAMIENTO_TON,TOTAL_AYUNTAMIENTO_%,COMLURSA_TON,COMLURSA_%,URBALUZ_TON,URBALUZ_$,URBALUZ_%,TOTAL_PRIVADAS_TON,TOTAL_PRIVADAS_%,TOTAL_GENERAL_TON
I,01/MARZO/2021,72.47,10.12%,2.54,0.35%,75.01,10.47%,277.60,38.77%,363.48,50.76%,49.71%,641.08,89.53%,716.09
M,02/MARZO/2021,99.75,12.51%,1.95,0.24%,101.70,12.76%,299.15,37.54%,396.30,47.71%,49.71%,695.55,87.24%,797.23
M1,03/MARZO/2021,71.24,9.72%,10.93,1.49%,82.17,11.21%,264.08,36.03%,386.79,52.77%,49.71%,650.87,88.79%,733.04
J,04/MARZO/2021,89.23,12.98%,4.04,0.59%,93.27,13.57%,262.44,36.19%,331.48,48.24%,49.71%,593.92,86.43%,687.19
V,05/MARZO/2021,74.66,10.82%,2.97,0.43%,77.63,11.25%,239.18,34.65%,373.43,54.10%,49.71%,612.61,88.75%,690.24
S,06/MARZO/2021,66.80,11.29%,3.41,0.58%,80.21,11.67%,242.14,40.93%,279.24,47.20%,49.71%,521.38,88.13%,691.59
D,07/MARZO/2021,51.85,7.72%,0.82,0.42%,52.67,7.74%,67.95,9.42%,73.42,37.84%,49.71%,141.37,72.86%,194.04
L,08/MARZO/2021,77.31,10.95%,3.81,0.54%,81.12,11.49%,257.17,36.41%,367.96,52.10%,49.71%,625.13,88.51%,706.25
M,09/MARZO/2021,59.39,10
(Continuing the transcription... I'll keep going through each row, making sure to capture every value accurately, including percentages, tonnage numbers, and symbols like $ in the URBALUZ column.)
