FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,CONWASTE DOMINICANA TON,CONWASTE DOMINICANA %,URBALUZ TON,URBALUZ %,COMLUBSA TON,COMLUBSA %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
01/ABRIL/2019,104.77,12.01%,37.59,4.31%,142.36,16.32%,283.07,32.45%,311.19,35.67%,135.68,15.55%,729.94,83.68%,872.30
02/ABRIL/2019,104.67,12.60%,28.17,3.39%,132.84,15.99%,238.00,28.65%,304.65,36.67%,155.20,18.68%,697.85,84.01%,830.69
03/ABRIL/2019,115.39,14.89%,15.53,2.00%,130.92,16.89%,221.60,28.60%,295.43,38.12%,127.00,16.39%,644.03,83.11%,774.95
04/ABRIL/2019,77.01,10.75%,26.07,3.64%,103.08,14.39%,187.66,26.19%,301.57,42.09%,124.18,17.33%,613.41,85.61%,716.49
05/ABRIL/2019,132.50,16.38%,28.55,3.53%,161.05,19.91%,212.61,26.28%,285.90,35.34%,149.38,18.47%,647.89,80.09%,808.94
06/ABRIL/2019,96.96,15.70%,7.51,1.22%,104.47,16.91%,177.86,28.79%,213.61,34.58%,121.78,19.71%,513.25,83.09%,617.72
07/ABRIL/2019,53.20,20.49%,2.48,0.96%,55.68,21.45%,33.39,12.86%,97.23,37.46%,73.29,28.23%,203.91,78.55%,259.59
08/ABRIL/2019,88.50,10.42%,32.05,3.77%,120.55,14.20%,262.51,30.91%,329.81,38.84%,136.34,16.05%,728.66,85.80%,849.21
09/ABRIL/2019,84.01,10.46%,31.10,3.87%,115.11,14.33%,222.48,27.70%,312.09,38.86%,153.51,19.11%,688.08,85.67%,803.19
10/ABRIL/2019,103.65,14.27%,21.81,3.00%,125.46,17.28%,208.83,28.76%,272.26,37.50%,119.56,16.47%,600.65,82.72%,726.11
11/ABRIL/2019,76.54,10.68%,26.17,3.65%,102.71,14.33%,168.10,23.45%,298.86,41.68%,147.28,20.54%,614.24,85.67%,716.95
12/ABRIL/2019,85.29,11.97%,18.84,2.65%,104.13,14.62%,211.60,29.71%,264.56,37.14%,131.97,18.53%,608.13,85.38%,712.26
13/ABRIL/2019,96.01,15.30%,15.04,2.40%,111.05,17.70%,185.79,29.61%,224.57,35.80%,105.96,16.89%,516.32,82.30%,627.37
14/ABRIL/2019,63.50,22.58%,17.85,6.35%,81.35,28.93%,35.83,12.74%,113.88,40.50%,50.14,17.83%,199.85,71.07%,281.20
15/ABRIL/2019,138.79,15.84%,20.31,2.32%,159.10,18.16%,253.06,28.89%,319.83,36.51%,144.01,16.44%,716.90,81.84%,876.00
16/ABRIL/2019,77.36,9.79%,18.47,2.34%,95.83,12.13%,231.72,29.33%,319.67,40.46%,142.83,18.08%,694.22,87.87%,790.05
17/ABRIL/2019,99.63,12.81%,15.77,2.03%,115.40,14.83%,208.95,26.86%,298.88,38.41%,154.80,19.90%,662.63,85.17%,778.03
18/ABRIL/2019,78.39,11.46%,27.32,3.99%,105.71,15.45%,166.43,24.33%,292.39,42.74%,119.56,17.48%,578.38,84.55%,684.09
19/ABRIL/2019,22.81,8.92%,13.83,5.41%,36.64,14.33%,40.35,15.78%,147.21,57.56%,31.55,12.34%,219.11,85.67%,255.75
20/ABRIL/2019,47.47,9.26%,14.76,2.88%,62.23,12.14%,155.16,30.27%,209.42,40.86%,85.75,16.73%,450.33,87.86%,512.56
21/ABRIL/2019,77.50,30.35%,13.97,5.47%,91.47,35.82%,34.35,13.45%,91.56,35.85%,38.00,14.88%,163.91,64.18%,255.38
22/ABRIL/2019,92.97,11.83%,21.66,2.76%,114.63,14.58%,265.14,33.73%,273.68,34.82%,132.64,16.87%,671.46,85.42%,786.09
23/ABRIL/2019,98.78,12.39%,8.47,1.06%,107.25,13.46%,273.10,34.27%,290.95,36.51%,125.71,15.77%,689.76,86.54%,797.01
24/ABRIL/2019,81.55,10.29%,20.29,2.56%,101.84,12.85%,228.59,28.85%,310.04,39.13%,151.78,19.16%,690.41,87.15%,792.25
25/ABRIL/2019,82.31,11.64%,22.27,3.15%,104.58,14.79%,183.75,25.99%,290.16,41.03%,128.65,18.19%,602.56,85.21%,707.14
26/ABRIL/2019,91.53,12.21%,13.10,1.75%,104.63,13.95%,225.68,30.10%,282.04,37.61%,137.54,18.34%,645.26,86.05%,749.89
27/ABRIL/2019,60.08,9.61%,12.60,2.02%,72.68,11.63%,183.33,29.33%,222.35,35.57%,146.76,23.48%,552.44,88.37%,625.12
28/ABRIL/2019,80.54,26.90%,1.37,0.46%,81.91,27.36%,27.24,9.10%,110.22,36.82%,79.98,26.72%,217.44,72.64%,299.35
29/ABRIL/2019,57.77,8.11%,11.72,1.65%,69.49,9.76%,245.46,34.46%,292.07,41.00%,105.30,14.78%,642.83,90.24%,712.32
30/ABRIL/2019,89.58,10.95%,18.92,2.31%,108.50,13.26%,241.81,29.55%,320.74,39.19%,147.37,18.01%,709.92,86.74%,818.42
