DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,CONWASTE DOMINICANA TON,CONWASTE DOMINICANA %,URBALUZ TON,URBALUZ %,COMLURSA TON,COMLURSA %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
MI,01/ABRIL/2020,38.35,6.20%,4.81,0.78%,43.16,6.98%,210.80,34.10%,269.29,43.56%,95.00,15.37%,575.09,93.02%,618.25
J,02/ABRIL/2020,71.63,11.29%,5.96,0.94%,77.59,12.23%,170.06,26.80%,290.81,45.83%,96.05,15.14%,556.92,87.77%,634.51
V,03/ABRIL/2020,52.25,9.04%,8.64,1.49%,60.89,10.53%,183.37,31.72%,235.31,40.70%,98.61,17.06%,517.29,89.47%,578.18
S,04/ABRIL/2020,71.74,13.15%,5.38,0.99%,77.12,14.14%,168.83,30.96%,199.11,36.51%,100.33,18.40%,468.27,85.86%,545.39
D,05/ABRIL/2020,43.04,18.26%,2.55,1.08%,45.59,19.35%,42.19,17.90%,76.91,32.64%,70.97,30.12%,190.07,80.65%,235.66
L,06/ABRIL/2020,76.90,10.22%,9.05,1.20%,85.95,11.42%,222.32,29.54%,344.44,45.77%,99.79,13.26%,666.55,88.58%,752.50
M,07/ABRIL/2020,64.60,8.95%,8.22,1.14%,72.82,10.09%,194.53,26.95%,352.51,48.84%,101.89,14.12%,648.93,89.91%,721.75
MI,08/ABRIL/2020,69.58,9.66%,3.13,0.43%,72.71,10.09%,220.44,30.60%,319.00,44.28%,108.29,15.03%,647.73,89.91%,720.44
J,09/ABRIL/2020,54.14,8.55%,10.64,1.68%,64.78,10.23%,152.75,24.13%,305.83,48.31%,109.74,17.33%,568.32,89.77%,633.10
V,10/ABRIL/2020,69.82,23.85%,5.68,1.94%,75.50,25.80%,137.39,46.94%,0.00,0.00%,79.80,27.26%,217.19,74.20%,292.69
S,11/ABRIL/2020,37.19,6.26%,4.08,0.69%,41.27,6.95%,161.04,27.12%,307.38,51.76%,84.21,14.18%,552.63,93.05%,593.90
D,12/ABRIL/2020,56.81,16.26%,-,0.00%,56.81,16.26%,36.42,10.42%,103.39,29.59%,152.83,43.73%,292.64,83.74%,349.45
L,13/ABRIL/2020,55.71,7.20%,10.84,1.40%,66.55,8.60%,251.85,32.56%,344.06,44.48%,111.05,14.36%,706.96,91.40%,773.51
M,14/ABRIL/2020,71.89,10.04%,1.51,0.21%,73.40,10.25%,209.94,29.31%,335.65,46.86%,97.32,13.59%,642.91,89.75%,716.31
MI,15/ABRIL/2020,70.46,10.09%,6.69,0.96%,77.15,11.05%,215.36,30.85%,303.33,43.45%,102.29,14.65%,620.98,88.95%,698.13
J,16/ABRIL/2020,62.35,9.13%,5.71,0.84%,68.06,9.97%,174.94,25.62%,308.40,45.16%,131.54,19.26%,614.88,90.03%,682.94
V,17/ABRIL/2020,82.12,11.96%,8.67,1.26%,90.79,13.22%,191.08,27.83%,285.30,41.55%,119.44,17.40%,595.82,86.78%,686.61
S,18/ABRIL/2020,74.73,13.27%,7.47,1.33%,82.20,14.59%,186.08,33.03%,196.68,34.91%,98.40,17.47%,481.16,85.41%,563.36
D,19/ABRIL/2020,59.88,24.37%,8.13,3.31%,68.01,27.68%,38.25,15.57%,86.96,35.40%,52.46,21.35%,177.67,72.32%,245.68
L,20/ABRIL/2020,81.45,10.22%,8.21,1.03%,89.66,11.25%,238.54,29.93%,365.97,45.93%,102.71,12.89%,707.22,88.75%,796.88
M,21/ABRIL/2020,71.99,9.78%,6.74,0.92%,78.73,10.69%,206.71,28.07%,326.72,44.36%,124.28,16.88%,657.71,89.31%,736.44
MI,22/ABRIL/2020,70.33,9.94%,4.74,0.67%,75.07,10.61%,213.47,30.16%,312.83,44.19%,106.49,15.04%,632.79,89.39%,707.86
J,23/ABRIL/2020,61.37,8.91%,-,0.00%,61.37,8.91%,181.96,26.42%,328.49,47.69%,117.00,16.99%,627.45,91.09%,688.82
V,24/ABRIL/2020,72.81,11.49%,-,0.00%,72.81,11.49%,215.55,34.01%,236.55,37.33%,108.82,17.17%,560.92,88.51%,633.73
S,25/ABRIL/2020,72.76,13.57%,-,0.00%,72.76,13.57%,188.57,35.16%,168.87,31.48%,106.16,19.79%,463.60,86.43%,536.36
D,26/ABRIL/2020,64.59,25.10%,-,0.00%,64.59,25.10%,39.90,15.50%,75.02,30.32%,74.83,29.08%,192.75,74.90%,257.34
L,27/ABRIL/2020,67.83,9.98%,-,0.00%,67.83,9.98%,226.18,33.29%,259.86,38.25%,125.52,18.48%,611.56,90.02%,679.39
M,28/ABRIL/2020,81.32,12.34%,-,0.00%,81.32,12.34%,212.66,32.27%,234.77,35.63%,130.16,19.75%,577.59,87.66%,658.91
MI,29/ABRIL/2020,70.60,11.16%,-,0.00%,70.60,11.16%,202.97,32.09%,240.34,38.00%,118.52,18.74%,561.83,88.84%,632.43
J,30/ABRIL/2020,73.77,12.48%,4.02,0.68%,77.79,13.16%,160.61,27.17%,247.64,41.89%,105.09,17.78%,513.34,86.84%,591.13
