DIA,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,COMLURSA TON,COMLURSA %,URBALUZ TON,URBALUZ %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
V,01/ABRIL/2022,13.73,1.88%,,0.00%,13.73,1.85%,317.11,43.11%,399.74,54.72%,716.85,98.12%,734.58
S,02/ABRIL/2022,48.91,7.06%,,0.00%,48.91,7.06%,298.59,43.07%,345.69,49.87%,644.28,92.94%,693.19
D,03/ABRIL/2022,35.07,13.25%,,0.00%,35.07,13.25%,117.76,44.49%,111.85,42.26%,229.61,86.75%,264.65
L,04/ABRIL/2022,34.54,4.68%,,0.00%,34.54,4.68%,300.95,40.74%,403.17,54.58%,704.12,95.32%,738.66
M,05/ABRIL/2022,27.88,3.50%,,0.00%,27.88,3.50%,325.45,40.86%,443.21,55.64%,768.69,96.50%,794.57
MI,06/ABRIL/2022,20.42,2.66%,,0.00%,20.42,2.66%,354.65,46.12%,393.84,51.22%,748.49,97.34%,768.91
J,07/ABRIL/2022,28.19,4.13%,,0.00%,28.19,4.13%,306.54,44.85%,348.23,50.99%,654.77,95.87%,682.96
V,08/ABRIL/2022,20.87,3.03%,,0.00%,20.87,3.03%,301.19,43.65%,367.45,53.29%,668.64,96.97%,689.51
S,09/ABRIL/2022,39.68,6.19%,,0.00%,39.68,6.19%,296.57,46.27%,304.71,47.54%,601.28,93.81%,641.96
D,10/ABRIL/2022,15.74,7.08%,,0.00%,15.74,7.08%,98.11,44.12%,108.54,48.81%,206.65,92.92%,222.39
L,11/ABRIL/2022,34.51,4.62%,,0.00%,34.51,4.62%,352.10,47.09%,361.12,48.30%,713.22,95.38%,747.73
M,12/ABRIL/2022,35.37,4.45%,,0.00%,35.37,4.45%,344.02,43.27%,415.60,52.28%,759.62,95.55%,795.99
MI,13/ABRIL/2022,24.06,3.22%,,0.00%,24.96,3.22%,334.52,44.79%,388.36,51.99%,722.88,96.78%,746.94
J,14/ABRIL/2022,35.68,5.33%,,0.00%,35.68,5.33%,293.65,43.94%,339.31,50.72%,633.26,94.67%,668.94
V,15/ABRIL/2022,34.92,10.20%,,0.00%,34.92,10.20%,179.19,52.32%,128.40,37.49%,307.59,89.80%,342.51
S,16/ABRIL/2022,35.08,7.30%,,0.00%,35.08,7.30%,181.35,37.75%,261.02,54.95%,442.37,92.70%,477.45
D,17/ABRIL/2022,22.13,10.54%,,0.00%,22.13,10.54%,88.44,42.11%,99.37,47.36%,187.81,89.46%,210.04
L,18/ABRIL/2022,36.68,4.84%,,0.00%,36.68,4.84%,342.91,45.29%,377.53,49.86%,720.44,95.16%,757.12
M,19/ABRIL/2022,24.23,3.48%,,0.00%,24.23,3.48%,301.05,43.18%,371.91,53.34%,672.96,96.52%,697.19
MI,20/ABRIL/2022,21.44,2.81%,,0.00%,21.44,2.81%,321.09,42.08%,420.51,55.11%,741.60,97.19%,763.04
J,21/ABRIL/2022,29.58,4.14%,,0.00%,29.58,4.14%,298.54,41.74%,387.15,54.13%,685.69,95.86%,715.27
V,22/ABRIL/2022,14.91,2.07%,,0.00%,14.91,2.07%,313.84,43.54%,392.11,54.39%,705.95,97.93%,720.86
S,23/ABRIL/2022,39.20,6.27%,,0.00%,39.20,6.27%,285.66,45.66%,300.70,48.07%,586.36,93.73%,625.56
D,24/ABRIL/2022,11.30,6.26%,,0.00%,11.30,6.26%,66.68,36.93%,102.58,56.81%,169.26,93.74%,180.56
L,25/ABRIL/2022,20.09,4.10%,,0.00%,20.09,4.10%,194.49,39.69%,275.44,56.21%,469.93,95.90%,490.02
M,26/ABRIL/2022,27.04,3.20%,,0.00%,27.04,3.20%,392.75,46.42%,426.33,50.38%,819.11,96.80%,846.15
MI,27/ABRIL/2022,17.41,2.43%,,0.00%,17.41,2.43%,317.48,44.33%,381.23,53.24%,698.71,97.57%,716.12
J,28/ABRIL/2022,22.11,3.16%,,0.00%,22.11,3.16%,300.27,42.91%,377.36,53.93%,677.63,96.84%,699.74
V,29/ABRIL/2022,16.21,2.43%,,0.00%,16.21,2.43%,298.31,44.67%,353.28,52.90%,651.59,97.57%,667.80
S,30/ABRIL/2022,37.92,6.33%,,0.00%,37.92,6.33%,282.42,47.13%,278.88,46.54%,561.30,93.67%,599.22
