DIA,FECHA,AMS_TON,AMS_%,MECANIZADOS_TON,MECANIZADOS_%,TOTAL_AYUNTAMIENTO_TON,TOTAL_AYUNTAMIENTO_%,COMLUIESA_TON,COMLUIESA_%,URBALUZ_TON,URBALUZ_%,TOTAL_PRIVADAS_TON,TOTAL_PRIVADAS_%,TOTAL_GENERAL_TON
S,01/MAY/2021,65.91,10.72%,-,0.00%,65.91,10.72%,270.37,43.98%,278.47,45.30%,548.84,89.28%,614.75
D,02/MAY/2021,63.11,20.31%,-,0.00%,63.11,20.31%,93.27,34.17%,276.58,42.71%,209.85,76.88%,274.2
L,03/MAY/2021,74.82,9.66%,4.96,0.69%,79.78,9.66%,329.46,42.52%,370.58,47.83%,700.04,90.34%,774.86
M,04/MAY/2021,84.96,10.73%,4.96,0.69%,89.92,11.35%,315.62,39.84%,386.77,48.82%,702.39,88.65%,792.31
MI,05/MAY/2021,106.40,13.49%,1.66,0.21%,108.06,13.70%,331.95,42.09%,346.71,44.21%,680.66,86.30%,788.72
J,06/MAY/2021,73.44,10.12%,6.70,0.92%,80.14,11.05%,298.75,41.18%,344.67,47.78%,645.42,88.95%,725.56
V,07/MAY/2021,73.08,10.22%,1.50,0.21%,74.58,10.43%,294.84,41.24%,345.44,48.32%,640.28,89.57%,715.86
S,08/MAY/2021,75.87,10.99%,5.76,0.83%,81.63,11.33%,291.76,42.27%,316.83,45.90%,608.59,86.17%,690.22
D,09/MAY/2021,49.67,19.21%,-,0.00%,49.67,19.21%,108.97,41.15%,99.87,38.63%,208.84,80.79%,258.51
L,10/MAY/2021,85.16,10.29%,6.32,0.76%,91.48,11.06%,366.71,44.32%,369.27,44.63%,735.98,88.94%,882.46
M,11/MAY/2021,95.35,11.43%,6.73,0.80%,102.08,11.63%,342.06,39.35%,426.14,49.02%,768.20,88.37%,849.28
MI,12/MAY/2021,105.47,12.89%,1.51,0.18%,106.98,13.07%,346.14,42.30%,365.12,44.62%,711.26,86.93%,818.24
J,13/MAY/2021,85.55,12.28%,2.77,0.40%,88.32,10.68%,283.63,40.73%,324.48,46.59%,608.11,87.23%,696.43
V,14/MAY/2021,66.35,9.53%,1.60,0.23%,67.95,9.76%,300.35,43.14%,327.93,47.10%,628.28,90.24%,696.23
S,15/MAY/2021,64.45,9.64%,-,0.00%,64.45,9.64%,297.45,44.49%,307.62,45.87%,604.07,90.36%,748.52
D,16/MAY/2021,55.02,12.79%,-,0.00%,55.02,12.79%,78.38,32.47%,107.97,44.73%,156.35,77.21%,242.37
L,17/MAY/2021,43.44,6.25%,3.69,0.53%,47.13,6.78%,285.00,40.99%,363.16,52.23%,648.16,93.22%,695.29
M,16/MAY/2021,62.51,7.93%,3.45,0.44%,65.96,8.37%,334.74,42.47%,387.52,49.16%,722.26,91.63%,798.22
MI,19/MAY/2021,66.77,9.14%,3.19,0.44%,69.96,9.58%,281.69,38.57%,378.74,51.85%,660.43,90.42%,730.39
J,20/MAY/2021,87.87,11.85%,4.32,0.58%,92.19,12.43%,305.07,41.13%,344.44,47.44%,649.51,87.57%,741.70
V,21/MAY/2021,52.41,7.36%,3.08,0.43%,55.49,7.80%,284.90,40.03%,371.28,52.17%,656.18,92.20%,711.67
S,22/MAY/2021,82.51,10.90%,1.59,0.21%,84.10,11.11%,336.80,44.51%,333.77,44.37%,672.57,88.89%,756.67
D,23/MAY/2021,46.34,14.00%,1.07,0.32%,47.41,14.32%,147.21,44.46%,136.45,41.21%,283.66,85.86%,331.07
L,24/MAY/2021,71.00,10.24%,14.19,1.65%,85.19,9.88%,354.26,44.10%,422.53,49.02%,776.79,90.12%,1611.98
M,25/MAY/2021,62.97,8.76%,4.78,0.58%,67.75,8.26%,329.82,41.19%,423.14,51.56%,752.96,91.74%,820.71
MI,26/MAY/2021,83.18,10.26%,2.98,0.37%,86.16,10.23%,339.89,41.94%,384.33,47.43%,724.22,89.37%,810.38
J,27/MAY/2021,89.25,12.31%,- ,0.00%,89.25,12.31%,310.66,42.87%,424.83,48.42%,635.49,87.69%,724.74
V,28/MAY/2021,81.40,11.35%,1.88,0.26%,83.28,11.61%,257.05,35.85%,376.69,52.54%,633.74,88.39%,717.02
S,29/MAY/2021,70.02,10.61%,1.02,0.15%,71.04,10.77%,270.92,40.07%,317.73,48.16%,588.65,89.23%,659.69
D,30/MAY/2021,43.01,16.98%,-,0.00%,43.01,16.98%,121.54,47.97%,88.81,35.05%,210.35,83.02%,253.36
L,31/MAY/2021,64.31,8.41%,5.22,0.66%,69.53,9.09%,320.13,41.86%,375.10,49.05%,695.23,90.10%,764.31
