L,01/JUNIO/2020,63.04,9.25%,9.19,1.35%,72.23,10.66%,241.49,35.44%,247.37,36.39%,120.35,17.66%,609.21,89.40%,681.41
M,02/JUNIO/2020,97.18,12.62%,5.18,0.67%,102.36,13.29%,248.02,32.11%,250.91,32.58%,168.81,21.92%,666.74,86.71%,750.10
J,03/JUNIO/2020,93.07,12.33%,4.82,0.63%,150.19,19.46%,247.09,31.85%,227.01,30.15%,127.99,16.71%,607.00,78.42%,752.23
J,04/JUNIO/2020,76.63,10.24%,6.67,0.88%,83.30,10.71%,196.60,25.19%,221.65,28.99%,114.72,14.81%,553.17,71.64%,616.70
S,05/JUNIO/2020,89.94,11.95%,6.15,0.81%,96.09,12.41%,218.30,28.26%,192.25,25.32%,138.52,18.04%,585.86,75.53%,659.35
D,06/JUNIO/2020,56.39,7.51%,2.90,0.38%,59.29,7.73%,232.76,30.27%,172.54,22.69%,66.74,8.72%,745.97,96.43%,674.63
L,07/JUNIO/2020,78.56,10.48%,0.00%,0.00%,70.56,9.15%,240.98,31.23%,246.40,32.49%,66.84,8.72%,1551.79,66.15%,2234.68
M,08/JUNIO/2020,75.49,10.14%,0.00%,0.00%,78.49,10.14%,260.79,33.99%,246.47,32.09%,140.04,18.31%,140.57,88.56%,744.43
M,09/JUNIO/2020,90.24,12.68%,0.00%,0.00%,90.24,12.68%,245.19,31.85%,245.49,32.49%,130.77,17.32%,621.45,87.32%,711.69
JI,10/JUNIO/2020,85.72,11.78%,0.00%,0.00%,85.72,11.78%,225.83,29.20%,234.61,30.75%,126.61,16.87%,604.72,83.63%,679.27
J,11/JUNIO/2020,76.46,10.64%,0.00%,0.00%,76.46,10.64%,176.98,23.01%,211.72,27.64%,114.59,15.27%,502.29,69.04%,679.73
V,12/JUNIO/2020,66.64,9.19%,0.00%,0.00%,66.64,9.19%,219.59,28.80%,234.60,30.61%,144.55,19.27%,507.24,69.81%,669.38
S,13/JUNIO/2020,89.37,12.37%,0.00%,0.00%,89.37,12.37%,209.34,27.57%,197.33,25.73%,156.35,20.79%,502.22,68.28%,652.79
L,14/JUNIO/2020,49.78,6.91%,0.00%,0.00%,49.78,6.91%,364.64,47.70%,42.26,5.49%,102.32,13.61%,201.73,27.06%,820.17,110.21%,651.50
M,15/JUNIO/2020,88.56,12.40%,0.00%,0.00%,88.56,12.40%,294.21,38.39%,299.61,38.73%,165.75,22.18%,755.55,102.29%,844.50
JI,16/JUNIO/2020,90.32,12.67%,9.03,1.24%,101.35,13.87%,323.75,42.25%,303.37,39.54%,158.91,21.25%,7255.50,98.15%,847.33
MI,17/JUNIO/2020,72.59,10.12%,0.00%,0.00%,72.59,10.12%,106.47,13.85%,506.52,65.91%,167.91,22.16%,7555.50,100.00%,884.44
V,18/JUNIO/2020,109.86,15.63%,8.63,1.23%,118.49,16.86%,194.30,26.65%,247.68,33.16%,142.94,19.84%,584.32,80.14%,702.81
D,19/JUNIO/2020,85.30,12.04%,1.19,0.17%,86.49,12.21%,213.33,29.45%,235.02,31.68%,117.81,16.37%,591.18,81.29%,678.42
D,20/JUNIO/2020,80.18,11.31%,0.00%,0.00%,80.18,11.31%,220.76,30.49%,209.38,28.29%,164.16,22.51%,573.30,78.70%,656.48
S,21/JUNIO/2020,69.69,9.87%,0.00%,0.00%,69.69,9.87%,204.93,28.10%,968.36,31.89%,189.97,26.09%,847.30,115.76%,657.45
L,22/JUNIO/2020,64.36,9.08%,0.00%,0.00%,64.36,9.08%,265.22,36.18%,257.54,33.13%,145.95,19.91%,666.71,91.22%,733.09
M,23/JUNIO/2020,88.13,12.47%,0.00%,0.00%,88.13,12.47%,248.10,33.72%,263.68,34.06%,156.23,21.00%,667.19,91.38%,735.02
JI,24/JUNIO/2020,87.60,12.48%,4.04,0.57%,91.64,13.22%,223.87,29.85%,246.91,32.72%,187.66,25.82%,658.44,90.22%,753.08
V,25/JUNIO/2020,86.87,13.77%,0.00%,0.00%,96.87,13.77%,154.19,20.73%,229.94,30.21%,162.92,22.47%,575.00,78.57%,751.92
S,26/JUNIO/2020,93.85,13.46%,3.45,0.49%,97.30,13.95%,225.98,30.30%,228.28,30.46%,200.80,28.07%,655.74,89.65%,751.08
D,27/JUNIO/2020,66.40,9.45%,0.00%,0.00%,66.40,9.45%,196.92,26.65%,196.65,26.65%,800.00,110.31%,90.09%,12.33%,666.00
L,28/JUNIO/2020,48.04,6.88%,0.00%,0.00%,48.04,6.91%,292.97,39.65%,222.00,29.80%,820.00,112.37%,90.09%,12.33%,736.03
M,29/JUNIO/2020,77.67,11.25%,13.66,1.93%,91.33,13.19%,273.17,36.85%,273.23,36.86%,198.87,27.77%,741.27,99.08%,836.60
L,30/JUNIO/2020,101.66,14.50%,9.25,1.33%,110.91,15.83%,251.67,34.94%,275.65,38.11%,175.77,23.61%,704.49,86.36%,813.50
