FECHA,TON_AMS,%_AMS,TON_MECANIZADOS,%_MECANIZADOS,TON_TOTAL_AYUNTAMIENTO,%_TOTAL_AYUNTAMIENTO,TON_CONWASTE_DOMINICANA,%_CONWASTE_DOMINICANA,TON_URBALUZ,%_URBALUZ,TON_COMLURSA,%_COMLURSA,TON_TOTAL_PRIVADAS,%_TOTAL_PRIVADAS,TON_TOTAL_GENERAL
01/JULIO/2019,79.50,10.13%,16.35,2.08%,95.55,12.21%,261.11,33.26%,285.34,36.35%,142.78,18.19%,669.23,87.79%,785.08
02/JULIO/2019,105.21,13.14%,23.82,2.96%,129.03,16.11%,230.10,28.73%,315.56,39.40%,126.13,15.77%,671.79,83.89%,800.02
03/JULIO/2019,96.74,11.66%,21.80,2.57%,118.54,13.92%,253.12,31.27%,328.59,37.97%,137.64,16.22%,664.53,78.80%,800.17
04/JULIO/2019,87.70,11.47%,13.19,1.72%,100.89,13.20%,203.34,25.60%,322.89,37.91%,157.12,18.45%,733.13,86.08%,851.67
05/JULIO/2019,93.68,12.03%,12.65,1.63%,106.33,13.65%,198.89,24.90%,298.30,34.62%,141.40,16.71%,632.33,75.00%,774.42
06/JULIO/2019,85.69,12.39%,11.87,1.72%,97.47,13.41%,196.31,24.52%,299.27,34.72%,141.52,16.77%,672.50,80.35%,776.83
07/JULIO/2019,79.60,26.95%,9.22,3.12%,88.91,30.07%,43.32,13.65%,290.33,40.11%,73.20,22.44%,593.38,85.89%,698.50
08/JULIO/2019,95.60,10.99%,20.78,2.39%,116.38,13.58%,270.71,31.07%,348.88,39.53%,73.12,21.73%,206.79,69.93%,295.70
09/JULIO/2019,104.77,12.47%,12.65,1.51%,117.42,13.98%,239.21,28.33%,332.79,38.11%,130.25,40.11%,753.34,86.62%,869.72
10/JULIO/2019,117.22,14.66%,11.45,1.43%,128.67,16.11%,230.24,28.83%,296.93,37.61%,150.21,17.88%,722.71,86.62%,840.13
11/JULIO/2019,101.84,14.66%,7.81,1.06%,109.65,14.93%,178.34,21.49%,294.89,36.76%,142.69,17.87%,665.86,79.57%,794.83
12/JULIO/2019,89.16,12.10%,7.43,1.01%,96.59,13.10%,216.60,30.06%,289.80,39.32%,151.54,20.63%,624.87,85.07%,743.72
13/JULIO/2019,62.14,9.98%,10.59,1.70%,72.73,10.69%,186.38,28.94%,233.71,37.55%,129.60,17.52,640.53,86.90%,737.12
14/JULIO/2019,60.87,9.09%,10.47,3.61%,71.14,24.50%,39.01,13.44%,348.76,50.57%,91.42,30.82%,549.69,86.31%,622.42
15/JULIO/2019,90.97,20.76%,18.04,7.03%,109.91,24.07%,270.75,30.03%,340.03,48.23%,125.38,31.49%,219.19,65.50%,620.33
16/JULIO/2019,109.10,13.42%,13.57,1.67%,122.67,15.09%,234.95,28.89%,318.91,39.22%,136.63,14.83,736.16,87.10%,845.37
17/JULIO/2019,84.53,13.26%,18.79,2.39%,103.32,13.15%,221.28,28.17%,298.58,34.01%,162.43,16.65,790.49,84.91%,841.16
18/JULIO/2019,88.25,12.11%,18.56,2.55%,106.81,14.66%,183.63,23.25%,302.15,41.46%,135.97,18.66,662.29,86.85%,785.61
19/JULIO/2019,97.82,12.68%,21.59,2.80%,119.41,14.48%,224.18,29.07%,282.32,36.61%,145.28,20.84,621.95,85.34%,728.76
20/JULIO/2019,85.92,12.91%,7.72,1.16%,93.64,14.07%,190.21,28.59%,227.90,34.25%,153.65,23.09,571.78,84.52%,771.19
21/JULIO/2019,70.74,24.13%,20.26,6.91%,91.00,31.04%,266.63,29.08%,105.22,35.89%,70.32,23.99,571.77,85.93%,765.60
22/JULIO/2019,79.58,9.66%,15.74,1.91%,95.32,11.57%,272.65,33.10%,323.02,39.22%,132.67,16.11,728.34,86.96%,829.17
23/JULIO/2019,87.65,10.05%,9.15,1.15%,96.80,31.20%,222.94,28.11%,323.29,40.76%,150.16,18.93,698.39,88.45%,823.66
24/JULIO/2019,84.23,11.59%,9.12,1.26%,93.35,12.85%,210.16,28.92%,277.71,38.22%,145.42,20.01,633.29,87.70%,793.16
25/JULIO/2019,74.77,10.92%,13.46,1.97%,88.23,12.85%,182.25,28.62%,274.70,38.05%,119.38,17.44,696.33,87.10%,782.64
26/JULIO/2019,88.52,11.65%,13.45,1.83%,99.27,13.48%,221.00,30.00%,290.24,38.04%,136.11,18.48,637.35,86.72%,786.16
27/JULIO/2019,65.82,10.54%,10.78,1.73%,76.30,13.47%,190.78,30.09%,294.31,37.52%,121.30,19.51,545.29,87.53%,621.59
28/JULIO/2019,88.78,31.89%,3.24,1.16%,92.04,33.06%,33.14,11.91%,921.27,33.11%,61.03,21.92,186.34,66.94%,278.36
29/JULIO/2019,87.76,18.43%,8.28,0.98%,96.04,33.12%,261.92,31.49%,931.15,39.38%,148.94,17.71,745.11,88.58%,841.13
30/JULIO/2019,104.04,12.19%,16.97,1.99%,121.01,14.18%,231.04,27.07%,339.57,39.79%,161.89,18.97,732.50,85.82%,853.31
31/JULIO/2019,84.52,11.06%,13.04,1.71%,97.56,12.77%,236.04,30.90%,297.47,38.94%,132.78,17.35,666.29,87.23%,853.31
