DIA,FECHA,AMS_TON,AMS_%,MECANIZADOS_TON,MECANIZADOS_%,TOTAL_AYUNTAMIENTO_TON,TOTAL_AYUNTAMIENTO_%,CONWASTE_DOMINICANA_TON,CONWASTE_DOMINICANA_%,URBAULIZ_TON,URBAULIZ_%,COMLURISA_TON,COMLURISA_%,TOTAL_PRIVADAS_TON,TOTAL_PRIVADAS_%,TOTAL_GENERAL_TON
M1,01/JULIO/2020,91.12,12.48%,2.17,0.30%,93.29,12.78%,222.86,30.52%,235.19,32.21%,178.73,24.09%,636.53,87.22%,730.12
J,02/JULIO/2020,85.73,12.47%,6.37,0.93%,92.10,13.40%,204.23,29.71%,237.31,33.79%,158.75,22.76%,595.42,86.64%,687.42
V,03/JULIO/2020,89.83,12.88%,2.13,0.28%,91.96,13.26%,225.76,32.46%,240.15,34.17%,198.23,28.12%,664.14,86.80%,756.10
S,04/JULIO/2020,76.26,11.00%,-,0.08%,76.26,11.00%,199.33,31.26%,184.32,26.50%,174.23,27.19%,562.98,84.05%,638.34
D,05/JULIO/2020,-, -,3.94,0.06%,-,0.00%,-,0.00%,39.69,6.99%,413.36,59.55%,74.25,26.90%,107.30,100.00%,707.30
L,06/JULIO/2020,79.23,11.81%,6.95,0.92%,96.18,12.73%,254.71,33.72%,243.68,34.26%,160.76,21.98%,659.18,87.27%,755.36
M,07/JULIO/2020,96.45,14.09%,3.04,0.40%,99.49,14.89%,240.44,33.73%,265.14,37.93%,170.43,23.15%,676.43,89.11%,791.52
I,08/JULIO/2020,94.17,13.76%,2.71,0.38%,96.88,13.74%,219.69,31.16%,246.51,35.97%,141.93,20.13%,603.13,86.26%,705.01
V,09/JULIO/2020,67.13,9.70%,7.45,1.19%,74.58,11.09%,191.43,31.06%,214.54,30.97%,138.31,20.13%,532.69,84.11%,627.37
S,10/JULIO/2020,106.42,15.41%,3.46,0.53%,110.90,16.04%,217.19,29.25%,244.76,35.42%,162.93,23.15%,638.62,84.93%,742.32
D,11/JULIO/2020,96.48,14.12%,3.48,0.51%,100.96,14.77%,221.19,29.24%,194.40,27.46%,165.29,22.15%,630.90,84.63%,718.11
L,12/JULIO/2020,72.61,10.65%,1.35%,0.20%,73.96,10.86%,147.19,19.24%,194.40,27.46%,192.23,27.16%,613.10,84.34%,727.34
M,13/JULIO/2020,56.41,8.28%,3.38,0.46%,59.79,8.74%,253.40,34.51%,258.10,21.42%,96.98,13.51%,193.14,31.24%,271.57
J,14/JULIO/2020,106.53,15.65%,4.71,0.69%,111.24,16.34%,257.09,34.95%,257.40,34.82%,97.31,13.51%,743.70,114.65%,824.40
V,15/JULIO/2020,79.04,11.55%,1.36,0.20%,80.40,11.85%,213.41,29.09%,237.26,32.46%,142.07,20.13%,586.74,84.75%,843.55
S,16/JULIO/2020,66.17,9.65%,2.61,0.40%,68.78,10.05%,189.34,25.90%,241.60,33.02%,153.08,21.70%,594.10,85.47%,652.58
D,17/JULIO/2020,87.31,12.39%,4.56,0.65%,91.87,13.03%,237.01,32.62%,237.59,32.90%,144.13,20.15%,613.03,86.97%,704.90
L,18/JULIO/2020,84.86,12.34%,2.64,0.44%,87.50,12.69%,185.63,25.16%,184.21,25.42%,148.42,20.53%,584.26,83.31%,595.76
M,19/JULIO/2020,58.79,8.54%,1.24,0.35%,60.03,8.76%,40.63,5.56%,172.96,23.69%,252.99,34.29%,73.84,10.24%,167.46,23.16%,730.71
I,20/JULIO/2020,80.18,11.69%,5.04,0.71%,85.22,12.43%,40.68,5.60%,176.98,24.36%,254.81,34.97%,130.32,18.14%,649.21,90.85%,714.43
V,21/JULIO/2020,83.06,12.19%,3.20,0.45%,86.26,12.51%,248.42,33.48%,248.59,34.56%,159.18,21.94%,656.18,88.43%,742.04
S,22/JULIO/2020,86.20,12.59%,2.80,0.39%,89.00,12.87%,225.59,30.81%,243.73,33.67%,144.63,19.85%,711.01,98.45%,74.31
D,23/JULIO/2020,65.47,9.59%,1.74,0.25%,67.50,9.74%,197.90,31.27%,212.60,29.36%,133.77,18.10%,716.17,90.36%,612.47
L,24/JULIO/2020,66.53,9.72%,1.86,0.28%,68.57,9.91%,256.02,32.47%,223.81,30.94%,220.50,30.17%,771.86,90.29%,678.43
M,25/JULIO/2020,83.10,12.10%,3.61,0.51%,86.64,12.54%,386.87,50.27%,203.53,28.12%,146.15,23.27%,855.07,73.02%,1165.34
I,26/JULIO/2020,53.13,7.76%,3.62,1.71%,56.75,8.26%,35.48,3.48%,131.74,18.15%,218.31,30.24%,154.59,21.70%,739.80,90.29%,815.30
V,27/JULIO/2020,81.02,11.83%,3.61,0.51%,84.64,12.34%,264.80,34.75%,233.41,32.93%,149.25,20.53%,824.94,72.84%,1124.70
S,28/JULIO/2020,95.23,13.91%,5.62,0.73%,100.85,14.58%,244.83,31.65%,278.01,38.94%,149.75,20.76%,827.59,86.96%,928.73
D,29/JULIO/2020,81.31,11.91%,-,-,81.31,11.91%,228.59,30.16%,274.02,38.68%,169.93,23.58%,673.74,88.69%,761.85
L,30/JULIO/2020,63.40,9.31%,1.45,0.24%,64.85,9.14%,198.94,33.40%,211.62,33.07%,122.27,16.96%,532.83,89.45%,595.88
M,31/JULIO/2020,73.09,10.74%,2.06,0.30%,75.15,10.54%,281.96,34.40%,224.89,33.07%,156.12,21.70%,802.96,88.96%,898.66
