FECHA,TON(AMS),%(AMS),TON(MECANIZADOS),%(MECANIZADOS),TON(TOTAL AYUNTAMIENTO),%(TOTAL AYUNTAMIENTO),TON(CONWASTE DOMINICANA),%(CONWASTE DOMINICANA),TON(URBALUZ),%(URBALUZ),TON(COMLURSA),%(COMLURSA),TON(TOTAL PRIVADAS),%(TOTAL PRIVADAS),TON(TOTAL GENERAL)
01/AGOSTO/2019,97.88,12.81%,9.88,1.29%,107.76,14.10%,195.54,25.59%,313.61,41.07%,147.08,19.25%,656.45,85.90%,764.21
02/AGOSTO/2019,88.59,11.47%,10.94,1.42%,99.53,12.89%,220.72,28.59%,294.30,38.12%,157.58,20.41%,672.60,87.71%,772.11
03/AGOSTO/2019,82.64,10.73%,4.43,0.68%,87.27,11.44%,203.86,26.40%,337.58,43.95%,170.62,22.16%,562.96,84.56%,649.33
04/AGOSTO/2019,78.72,7.57%,0.57,0.19%,79.20,12.54%,37.80,6.00%,99.48,15.63%,898.09,14.18%,874.06,83.96%,853.55
05/AGOSTO/2019,80.42,9.11%,11.00,1.30%,91.42,10.91%,246.39,30.33%,341.96,43.75%,156.20,19.51%,731.92,88.40%,845.31
06/AGOSTO/2019,100.48,11.67%,29.66,3.44%,130.14,15.11%,244.67,28.43%,319.11,39.72%,166.49,19.93%,731.03,88.50%,793.12
07/AGOSTO/2019,63.88,8.05%,13.15,1.51%,70.73,8.31%,219.68,25.71%,294.13,36.07%,202.38,24.51%,710.39,90.79%,797.94
08/AGOSTO/2019,90.07,10.30%,14.48,1.62%,104.55,13.11%,196.11,23.29%,301.49,37.81%,195.19,24.44%,692.79,86.69%,797.31
09/AGOSTO/2019,93.86,11.79%,16.33,2.05%,110.19,13.84%,239.29,28.60%,283.77,35.65%,162.69,20.44%,685.75,86.16%,793.94
10/AGOSTO/2019,89.75,13.54%,5.72,0.86%,95.47,14.41%,193.98,23.77%,231.55,34.94%,141.65,21.38%,567.18,85.59%,662.65
11/AGOSTO/2019,69.17,23.93%,3.64,1.26%,72.81,25.19%,39.19,13.56%,90.64,31.93%,86.46,29.91%,216.72,74.81%,289.10
12/AGOSTO/2019,74.20,9.44%,3.98,0.51%,78.18,9.95%,252.78,32.16%,303.46,38.61%,151.62,19.29%,707.86,90.05%,786.04
13/AGOSTO/2019,89.51,10.93%,8.51,1.04%,98.02,11.97%,233.49,29.52%,335.61,40.99%,151.70,18.53%,720.80,88.03%,818.82
14/AGOSTO/2019,85.49,11.23%,10.47,1.38%,95.96,11.61%,222.54,28.23%,281.89,37.03%,160.85,21.13%,665.28,87.39%,816.21
15/AGOSTO/2019,68.74,9.67%,15.80,2.22%,84.54,10.29%,176.84,22.49%,291.91,41.08%,157.27,21.13%,626.02,88.10%,710.56
16/AGOSTO/2019,80.25,11.97%,9.41,1.40%,89.66,13.37%,196.23,24.76%,252.50,37.65%,132.30,19.73%,581.03,86.63%,670.69
17/AGOSTO/2019,99.61,11.71%,2.95,0.45%,102.56,15.57%,184.39,29.26%,227.17,34.45%,145.32,20.24%,556.68,84.45%,659.44
18/AGOSTO/2019,70.05,21.93%,4.28,1.34%,74.33,11.37%,38.59,12.08%,105.14,32.92%,101.30,31.72%,245.03,76.73%,319.36
19/AGOSTO/2019,83.75,8.97%,21.47,2.30%,105.22,23.27%,38.41,10.46%,349.07,43.79%,194.92,20.88%,828.40,88.73%,933.62
20/AGOSTO/2019,85.97,9.84%,11.86,1.36%,97.83,11.20%,238.65,29.62%,347.90,39.84%,168.94,19.34%,775.49,88.80%,873.32
21/AGOSTO/2019,103.71,12.24%,15.64,1.85%,119.35,14.15%,229.08,29.15%,303.85,36.01%,169.43,22.69%,724.36,85.85%,843.71
22/AGOSTO/2019,82.93,11.09%,18.88,2.52%,101.81,13.61%,185.95,24.74%,310.94,41.58%,150.07,20.07%,646.06,86.39%,747.87
23/AGOSTO/2019,74.65,8.96%,19.34,2.32%,93.99,13.28%,219.82,28.37%,329.93,43.26%,191.74,27.09%,739.47,88.72%,833.46
24/AGOSTO/2019,93.81,11.91%,13.25,4.35%,128.06,16.26%,198.65,24.99%,239.90,30.84%,223.06,28.32%,659.71,83.74%,787.77
25/AGOSTO/2019,75.39,9.41%,13.91,4.49%,89.30,11.28%,196.66,24.84%,107.93,34.45%,73.80,24.48%,220.39,71.16%,309.69
26/AGOSTO/2019,80.07,9.56%,10.77,1.29%,90.84,10.85%,266.05,32.02%,337.89,40.36%,140.44,16.77%,746.38,89.15%,837.22
27/AGOSTO/2019,80.73,9.63%,8.56,1.10%,83.79,10.73%,234.33,30.01%,315.51,40.41%,147.18,18.85%,797.02,89.72%,837.01
28/AGOSTO/2019,112.16,13.66%,20.25,2.47%,132.41,16.13%,212.15,25.45%,303.81,37.01%,172.48,21.01%,698.44,83.87%,820.85
29/AGOSTO/2019,74.52,9.99%,14.94,1.80%,89.46,10.99%,201.61,27.03%,303.92,40.75%,150.90,18.23%,658.43,88.01%,814.58
30/AGOSTO/2019,89.27,11.31%,11.62,1.47%,100.89,12.79%,219.76,27.79%,285.18,36.15%,183.64,23.28%,684.08,87.21%,788.97
31/AGOSTO/2019,64.09,9.78%,8.27,1.26%,72.36,11.04%,197.79,30.18%,247.06,37.69%,138.24,21.09%,583.09,88.56%,655.45
