COD,FECHA,AMS_TON,AMS_%,MECANIZADOS_TON,MECANIZADOS_%,TOTAL_AYUNTAMIENTO_TON,TOTAL_AYUNTAMIENTO_%,CONWASTE_DOMINICANA_TON,CONWASTE_DOMINICANA_%,URBALAZ_TON,URBALAZ_%,COMLURSA_TON,COMLURSA_%,TOTAL_PRIVADAS_TON,TOTAL_PRIVADAS_%,TOTAL_GENERAL_TON,TOTAL_GENERAL_%
S,01/AGOSTO/2020,98.36,13.74%,1.35,0.19%,99.71,13.93%,226.22,31.61%,244.91,34.22%,144.56,20.14%,615.99,86.07%,715.70,100%
D,02/AGOSTO/2020,89.34,28.59%,2.43,0.80%,89.64,29.50%,146.50,44.74%,63.27,20.20%,113.93,36.17%,223.70,71.41%,313.24,100%
M1,03/AGOSTO/2020,86.26,10.75%,8.16,1.00%,96.42,11.76%,270.70,33.75%,251.32,38.01%,162.20,19.90%,776.47,88.24%,802.15,100%
I,04/AGOSTO/2020,88.02,10.23%,9.14,1.09%,98.08,11.59%,251.34,30.52%,312.79,37.85%,185.34,21.06%,744.73,86.11%,864.55,100%
M1,05/AGOSTO/2020,115.85,16.83%,17.27,2.43%,133.12,19.87%,215.83,30.56%,220.95,31.29%,133.29,19.67%,570.07,80.72%,706.19,100%
V,06/AGOSTO/2020,94.23,11.31%,14.16,2.13%,106.39,15.84%,232.12,33.26%,178.94,25.69%,130.94,19.01%,622.00,88.26%,701.58,100%
S,07/AGOSTO/2020,96.57,11.67%,14.67,2.20%,109.24,16.37%,225.92,32.68%,209.43,31.21%,133.42,19.57%,572.97,82.32%,671.07,100%
D,08/AGOSTO/2020,77.75,9.42%,5.62,0.87%,83.37,12.46%,230.12,33.29%,60.09,23.15%,133.02,19.37%,495.00,71.26%,671.45,100%
M1,09/AGOSTO/2020,77.30,9.45%,5.10,0.78%,82.40,12.23%,258.31,37.65%,276.34,40.53%,88.02,12.81%,701.32,100.67%,780.02,100%
J,10/AGOSTO/2020,93.19,11.07%,6.93,0.86%,96.12,11.43%,289.39,33.43%,288.61,35.91%,135.76,19.73%,789.38,100.64%,784.02,100%
M1,11/AGOSTO/2020,104.96,13.91%,8.45,1.08%,113.41,13.96%,252.11,29.40%,250.87,33.93%,138.20,19.81%,769.48,88.54%,743.79,100%
J,12/AGOSTO/2020,96.20,14.35%,6.58,0.98%,102.84,13.34%,196.54,22.91%,259.43,37.42%,120.26,17.53%,567.74,84.06%,673.58,100%
M1,13/AGOSTO/2020,98.26,14.34%,9.66,1.48%,108.92,13.12%,252.15,29.31%,253.92,33.64%,138.99,19.49?,169.64,24.48%,750.52,100%
V,14/AGOSTO/2020,98.20,14.50%,-,-%,98.20,11.50%,225.39,33.28%,234.13,34.17%,120.25,17.75?,379.09,55.40%,677.29,100%
S,15/AGOSTO/2020,78.24,11.56%,-,0.00%,78.24,11.58%,243.31,35.29%,143.43,21.90%,129.93,19.23?,169.51,24.52%,247.75,100%
M1,16/AGOSTO/2020,72.82,10.10%,4.93,0.69%,77.75,11.48%,229.92,33.19%,264.00,36.73?,153.81,21.74%,64.90,9.32?,535.32?,79.70,100%
J,17/AGOSTO/2020,100.95,14.32%,2.73,0.38%,103.68,15.40%,229.92,33.19%,253.38,35.29?,135.78,19.49?,137.76,19.74?,642.48,93.20?,730.70,100%
