DIA,FECHA,AMS(TON,%),MECANIZADOS(TON,%),TOTAL AYUNTAMIENTO(TON,%),COMLURSA(TON,%),URBALUZ(TON,%),TOTAL PRIVADAS(TON,%),TOTAL GENERAL(TON)
C,01/II/10/2021,. 0.00%,37.00 5.41%,37.00 5.41%,297.68 43.57%,348.62 51.02%,646.30 94.59%,683.30
V,02/II/10/2021,. 0.00%,39.91 5.24%,39.91 5.24%,345.61 45.39%,375.91 49.37%,721.55 94.76%,763.49
S,03/II/10/2021,. 0.00%,89.43 12.40%,89.43 12.40%,296.85 41.15%,335.07 46.45%,631.92 87.60%,721.35
D,04/II/10/2021,. 0.00%,67.72 23.73%,67.72 23.73%,109.44 37.81%,111.36 38.16%,220.84 76.27%,289.56
L,05/II/10/2021,. 0.00%,51.69 6.66%,51.69 6.66%,325.20 41.93%,398.78 51.41%,723.96 93.34%,775.67
M,06/II/10/2021,. 0.00%,55.69 6.63%,55.69 6.63%,343.75 44.54%,451.49 52.93%,797.24 93.47%,852.93
JI,07/II/10/2021,. 0.00%,50.25 6.43%,50.25 6.43%,317.71 40.63%,414.00 52.94%,731.71 93.57%,781.96
V,09/II/10/2021,. 0.00%,53.83 7.26%,53.83 7.26%,303.97 41.00%,383.63 51.74%,687.60 92.74%,741.43
S,10/II/10/2021,. 0.00%,54.57 8.29%,54.57 8.29%,298.92 45.39%,380.05 47.32%,603.97 91.71%,658.54
11/II/10/2021,. 0.00%,28.85 12.11%,28.85 12.11%,102.17 42.90%,107.12 44.98%,209.29 87.99%,238.14
12/II/10/2021,. 0.00%,56.10 6.93%,56.10 6.93%,345.40 42.60%,407.79 50.19%,753.19 93.07%,809.29
MI,13/II/10/2021,. 0.00%,60.82 7.33%,60.82 7.33%,339.42 40.89%,429.79 51.78%,769.21 92.67%,830.03
14/II/10/2021,. 0.00%,53.35 6.57%,53.35 6.57%,104.70 42.65%,114.02 50.98%,758.74 93.43%,812.09
V,15/II/10/2021,. 0.00%,42.46 6.18%,42.46 6.18%,274.64 39.96%,370.11 53.86%,644.75 93.82%,657.21
16/II/10/2021,. 0.00%,21.54 3.12%,21.54 3.12%,292.47 42.36%,376.47 54.52%,666.94 96.58%,690.48
S,17/II/10/2021,. 0.00%,53.28 8.02%,53.28 8.02%,274.76 41.39%,335.91 50.59%,610.67 91.98%,663.95
D,18/II/10/2021,. 0.00%,55.53 20.28%,55.53 20.28%,108.16 39.49%,110.19 40.23%,218.35 79.72%,273.88
L,19/II/10/2021,. 0.00%,42.40 5.49%,42.40 5.49%,312.19 40.43%,417.63 51.40%,729.82 94.51%,772.22
M,20/II/10/2021,. 0.00%,51.13 6.17%,51.13 6.17%,310.18 37.44%,467.15 56.39%,777.33 93.83%,828.16
21/II/10/2021,. 0.00%,77.14 9.94%,77.14 9.94%,288.52 37.18%,410.31 52.88%,698.83 90.06%,775.97
JI,22/II/10/2021,. 0.00%,62.33 9.01%,62.33 9.01%,267.22 38.62%,362.40 52.37%,629.62 96.99%,691.95
V,23/II/10/2021,. 0.00%,54.72 7.65%,54.72 7.65%,276.64 38.69%,383.57 53.65%,660.21 92.35%,714.93
S,24/II/10/2021,. 0.00%,35.34 5.60%,35.34 5.60%,266.66 42.40%,328.21 52.00%,595.87 94.10%,631.21
D,25/II/10/2021,. 0.00%,32.34 12.25%,32.34 12.25%,104.49 39.57%,127.26 40.19%,231.75 87.75%,264.09
L,26/II/10/2021,. 61.34 8.27%,.,. 0.00%,297.28 38.19%,416.74 53.34%,714.02 93.73%,778.36
M,27/II/10/2021,. 49.44 6.27%,.,. 0.00%,316.26 40.11%,422.76 53.62%,739.02 93.73%,788.46
MI,28/II/10/2021,. 72.73 9.09%,.,. 0.00%,303.59 37.94%,423.86 52.97%,722.45 90.91%,800.18
29/II/10/2021,. 63.28 9.04%,.,. 0.00%,297.59 42.53%,338.91 48.43%,636.50 90.96%,699.78
V,30/II/10/2021,. 59.82 7.86%,.,. 0.00%,293.78 38.58%,407.84 53.56%,701.62 92.14%,761.44
31/07/10/2021,. 27.03 4.42%,.,. 0.00%,265.31 43.34%,316.10 51.64%,581.41 94.99%,612.00
