FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,CONWASTE DOMINICANA TON,CONWASTE DOMINICANA %,URBALUZ TON,URBALUZ %,COMLURSA TON,COMLURSA %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
SEPTIEMBRE/2019,67.03,72.63%,10.50,3.54%,77.53,26.17%,38.65,13.05%,108.20,36.33%,71.83,24.25%,218.68,73.83%,296.21
SEPTIEMBRE/2019,83.59,9.22%,21.30,2.35%,104.69,11.57%,264.06,29.34%,365.07,40.27%,170.59,18.82%,801.72,88.43%,906.61
SEPTIEMBRE/2019,100.25,0.57%,12.55,1.45%,112.60,13.01%,254.36,28.91%,342.69,39.53%,156.96,18.11%,754.01,84.99%,866.81
SEPTIEMBRE/2019,104.99,13.21%,18.70,2.35%,123.69,15.56%,219.52,27.82%,296.86,37.14%,154.91,19.49%,671.23,84.44%,794.92
SEPTIEMBRE/2019,78.32,10.68%,9.87,1.34%,86.37,13.20%,182.77,24.85%,303.70,37.29%,160.70,21.15%,647.17,83.99%,753.93
SEPTIEMBRE/2019,89.47,11.80%,47.78,6.30%,137.25,18.11%,215.40,28.42%,265.75,33.06%,139.53,18.41%,620.68,81.89%,757.92
SEPTIEMBRE/2019,74.39,11.40%,14.63,2.45%,87.02,14.35%,185.53,31.01%,199.44,33.34%,126.21,21.10%,511.18,85.45%,586.00
SEPTIEMBRE/2019,97.92,19.75%,45.57,13.25%,113.49,33.00%,55.76,16.22%,104.91,30.51%,69.70,20.27%,230.37,67.00%,434.86
SEPTIEMBRE/2019,67.92,11.77%,4.59,1.42%,110.38,14.74%,270.31,36.54%,143.95,30.24%,159.44,18.17%,773.70,82.26%,837.58
SEPTIEMBRE/2019,93.89,11.20%,11.89,1.42%,105.78,12.62%,233.25,27.84%,314.91,39.37%,169.07,20.18%,732.19,87.38%,837.97
SEPTIEMBRE/2019,105.55,12.09%,20.25,3.57%,128.90,15.30%,214.99,25.94%,327.87,39.36%,190.25,22.16%,713.06,86.20%,841.75
SEPTIEMBRE/2019,89.24,12.52%,9.59,1.29%,102.93,13.41%,192.72,28.74%,300.11,37.65%,141.92,19.64%,741.98,86.12%,841.75
SEPTIEMBRE/2019,93.85,12.13%,9.01,1.75%,103.86,13.48%,183.62,30.06%,301.23,40.73%,146.11,20.04%,637.85,85.32%,740.64
SEPTIEMBRE/2019,87.66,13.74%,5.88,2.15%,83.67,10.46%,193.65,28.69%,278.39,37.63%,133.21,19.85%,544.45,83.12%,638.12
SEPTIEMBRE/2019,72.63,13.39%,11.27,1.35%,86.00,10.83%,260.27,34.70%,328.88,33.28%,69.90,26.32%,197.55,74.59%,625.55
SEPTIEMBRE/2019,75.13,9.08%,5.88,2.31%,86.85,10.43%,390.60,51.30%,388.56,39.48%,156.39,18.73%,147.65,85.37%,832.50
SEPTIEMBRE/2019,127.02,15.00%,9.84,1.17%,135.57,16.17%,235.85,28.14%,327.09,39.03%,139.64,16.66%,702.58,83.63%,838.15
SEPTIEMBRE/2019,78.13,11.96%,26.72,3.41%,104.71,13.37%,221.86,28.31%,328.13,36.65%,169.81,21.67%,678.82,86.53%,836.53
SEPTIEMBRE/2019,84.91,11.36%,3.66,0.49%,88.57,11.85%,183.45,24.54%,306.80,41.03%,168.85,22.58%,659.10,88.15%,747.67
SEPTIEMBRE/2019,87.19,10.99%,23.83,3.00%,111.02,13.99%,234.25,29.52%,272.13,34.30%,176.05,22.19%,682.45,86.01%,793.47
SEPTIEMBRE/2019,68.96,10.43%,3.51,0.53%,72.07,10.96%,196.18,29.84%,247.16,37.59%,142.04,21.60%,585.38,89.04%,657.45
SEPTIEMBRE/2019,62.47,20.98%,2.24,0.75%,64.71,21.73%,40.38,13.56%,212.67,33.87%,80.02,26.87%,233.07,26.87%,297.78
SEPTIEMBRE/2019,93.31,10.44%,10.48,1.16%,104.40,11.59%,275.94,30.63%,350.03,38.57%,170.24,18.90%,796.11,88.11%,900.51
SEPTIEMBRE/2019,30.81,4.64%,1.80,0.28%,32.11,4.92%,216.56,30.16%,283.34,43.41%,120.88,18.91%,620.88,95.08%,652.59
SEPTIEMBRE/2019,106.26,13.43%,8.31,1.05%,114.57,14.48%,212.19,26.82%,305.22,38.56%,159.19,20.12%,676.60,85.52%,791.71
SEPTIEMBRE/2019,71.03,13.40%,11.68,1.55%,82.71,10.59%,211.37,27.98%,303.41,40.56%,155.01,20.52%,672.79,89.05%,755.50
SEPTIEMBRE/2019,91.01,10.43%,8.36,1.08%,97.97,11.23%,252.25,32.92%,294.05,33.71%,225.06,26.14%,774.36,88.77%,872.33
SEPTIEMBRE/2019,41.35,10.44%,6.29,0.80%,44.60,5.69%,211.03,28.29%,260.02,40.21%,228.06,26.14%,777.11,93.07%,847.11
SEPTIEMBRE/2019,105.93,17.98%,4.67,1.50%,60.60,7.70?,19.48%,38.12%,294.16,29.95%,119.20,38.32%,250.47,80.52%,811.07
SEPTIEMBRE/2019,103.26,17.49%,15.03,1.67%,118.29,15.17%,131.93,29.15%,352.14,39.20%,166.05,38.18%,750.12,80.63%,898.41
