FECHA,AMS_TON,AMS_%,MECANIZADOS_TON,MECANIZADOS_%,TOTAL_AYUNTAMIENTO_TON,TOTAL_AYUNTAMIENTO_%,CONWASTE_DOMINICANA_TON,CONWASTE_DOMINICANA_%,URBALUZ_TON,URBALUZ_%,COMLURSA_TON,COMLURSA_%,TOTAL_PRIVADAS_TON,TOTAL_PRIVADAS_%,TOTAL_GENERAL_TON,TOTAL_GENERAL_
01/SEPTIEMBRE/2020,103.67,13.35,5.08,0.65,108.71,11.40,234.53,30.19,259.40,34.49,150.11,19.33,668.04,86.00,776.73,
02/SEPTIEMBRE/2020,116.54,15.93,1.52,0.20,119.06,15.23,246.58,31.84,264.87,34.16,154.57,19.77,667.80,86.07,775.36,
03/SEPTIEMBRE/2020,124.57,16.93,3.67,0.49,130.24,17.14,272.76,35.47,284.90,36.56,157.68,18.61,668.40,82.30,773.41,
04/SEPTIEMBRE/2020,108.29,14.98,3.10,0.40,111.39,14.70,229.17,29.95,240.74,31.54,136.99,17.88,655.96,83.62,734.43,
05/SEPTIEMBRE/2020,83.54,11.22,1.26,0.17,95.74,12.41,201.08,26.09,212.63,27.59,119.32,15.44,559.06,69.79,685.37,
06/SEPTIEMBRE/2020,66.43,9.12,4.11,0.52,70.54,9.27,136.07,17.72,147.61,19.21,114.60,14.78,557.92,65.99,683.43,
07/SEPTIEMBRE/2020,69.79,9.57,1.56,0.21,71.65,9.38,263.66,33.97,278.85,36.10,140.31,18.07,573.01,65.96,725.52,
08/SEPTIEMBRE/2020,99.18,13.35,7.04,0.96,106.18,14.05,283.77,36.34,294.45,38.43,135.40,17.48,573.42,64.73,804.94,
09/SEPTIEMBRE/2020,102.94,14.03,-, -,99.98,13.29,233.30,30.19,250.97,32.41,139.91,18.19,770.89,97.45,802.99,
10/SEPTIEMBRE/2020,113.92,15.73,3.96,0.59,117.88,15.71,220.05,28.51,232.58,30.14,155.40,20.33,723.35,93.67,803.66,
11/SEPTIEMBRE/2020,110.23,15.07,5.93,0.81,116.18,15.38,202.05,26.21,217.88,28.32,109.35,14.31,623.99,80.50,850.09,
12/SEPTIEMBRE/2020,105.60,14.46,2.77,0.37,108.37,14.24,214.06,27.72,226.88,29.58,140.72,18.50,648.65,84.15,853.56,
13/SEPTIEMBRE/2020,75.33,10.46,3.43,0.55,78.76,10.51,197.39,25.81,207.92,27.36,109.33,14.63,519.00,70.19,619.03,
14/SEPTIEMBRE/2020,99.20,13.71,9.88,1.36,109.08,14.61,436.93,57.09,456.74,59.66,124.54,16.56,510.24,68.20,731.06,
15/SEPTIEMBRE/2020,123.20,17.05,7.47,1.03,130.67,17.73,280.81,36.69,290.15,37.98,131.64,17.49,672.60,87.85,785.66,
16/SEPTIEMBRE/2020,76.57,10.42,4.71,0.64,81.28,10.95,204.93,26.64,216.70,28.15,120.69,15.91,623.52,82.59,816.71,
17/SEPTIEMBRE/2020,98.82,13.62,5.83,0.80,104.65,14.06,222.73,28.91,231.97,30.08,134.42,17.90,618.66,82.39,699.94,
18/SEPTIEMBRE/2020,103.17,14.12,9.83,1.33,112.00,14.99,204.24,26.61,215.40,27.86,143.63,19.03,616.56,82.05,699.94,
19/SEPTIEMBRE/2020,88.31,12.16,2.39,0.33,90.70,12.12,216.07,28.12,225.96,29.28,137.78,18.40,616.44,81.59,795.78,
20/SEPTIEMBRE/2020,83.71,11.65,0.31,0.37,83.57,11.20,340.13,44.02,350.06,45.36,121.53,16.21,654.10,86.58,830.98,
21/SEPTIEMBRE/2020,101.16,13.99,1.96,0.26,103.16,13.81,276.26,35.97,285.49,37.04,132.34,17.62,614.21,81.75,781.77,
22/SEPTIEMBRE/2020,86.19,11.96,1.94,0.26,88.13,11.92,264.30,34.50,273.43,35.80,123.34,16.32,574.70,76.39,747.77,
23/SEPTIEMBRE/2020,104.26,14.37,14.87,1.96,119.13,15.86,245.96,32.19,255.27,33.42,138.22,18.27,641.39,84.34,763.24,
24/SEPTIEMBRE/2020,100.96,13.97,2.17,0.29,112.13,15.17,251.50,32.91,261.15,34.21,133.18,17.67,627.07,83.27,751.32,
25/SEPTIEMBRE/2020,89.99,12.45,14.77,1.95,119.19,15.93,244.50,32.14,254.21,33.38,138.18,18.27,621.13,82.71,751.32,
26/SEPTIEMBRE/2020,97.06,13.49,5.14,0.71,103.13,13.87,244.80,32.29,258.57,33.92,123.45,16.52,627.22,83.73,712.35,
27/SEPTIEMBRE/2020,72.60,10.07,6.44,0.87,79.04,10.63,235.07,30.49,245.87,32.18,123.43,16.35,562.17,74.87,768.31,
28/SEPTIEMBRE/2020,90.64,12.51,1.53,0.19,74.66,10.07,244.51,32.19,256.21,33.42,149.72,19.84,150.74,86.29,227.40,
29/SEPTIEMBRE/2020,99.33,13.79,5.48,0.76,79.81,10.74,302.65,39.71,314.79,41.29,141.01,18.61,174.75,24.12,809.92,
30/SEPTIEMBRE/2020,117.75,16.34,4.42,0.59,122.7,16.62,276.24,36.15,285.80,37.47,134.29,17.92,668.91,86.80,793.71,
