CODIGO,FECHA,AMS_TON,AMS_%,MECANICADOS_TON,MECANICADOS_%,TOTAL_AYUNTAMIENTO_TON,TOTAL_AYUNTAMIENTO_%,CONASSE_DOMINICANA_TON,CONASSE_DOMINICANA_%,URBALUZ_TON,URBALUZ_%,COMLURSA_TON,COMLURSA_%,TOTAL_PRIVADAS_TON,TOTAL_PRIVADAS_%,TOTAL_GENERAL_TON,TOTAL_GENERAL_%
L,01/OCTUBRE/2018,104.07,13.00%,12.27,1.53%,116.34,14.54%,267.83,33.46%,308.21,50.06%,108.03,13.50%,684.07,85.46%,800.41,
M,02/OCTUBRE/2018,103.13,13.09%,9.75,1.57%,117.88,14.90%,259.24,32.66%,300.43,44.58%,140.33,17.81%,670.00,84.04%,787.38,
J,03/OCTUBRE/2018,106.67,13.45%,9.71,1.55%,116.38,14.63%,205.43,25.87%,274.40,41.58%,122.17,15.31%,623.31,77.80%,771.38,
V,04/OCTUBRE/2018,119.32,14.96%,11.35,1.78%,115.69,14.52%,193.56,24.11%,316.07,47.92%,116.29,14.42%,631.93,78.39%,772.00,
S,05/OCTUBRE/2018,79.40,10.00%,9.36,1.20%,112.48,14.22%,179.11,22.37%,224.70,34.44%,117.50,18.75%,523.31,65.09%,575.79,
D,06/OCTUBRE/2018,78.97,10.00%,8.99,1.16%,87.96,11.11%,134.97,17.04%,113.13,17.24%,79.41,12.54%,226.61,72.94%,314.57,
L,07/OCTUBRE/2018,73.72,9.48%,14.68,1.89%,138.40,17.64%,246.91,31.28%,327.00,49.54%,144.21,22.64%,718.12,90.85%,856.52,
M,08/OCTUBRE/2018,121.88,15.34%,10.97,1.39%,132.85,16.83%,211.83,26.71%,328.40,50.06%,140.83,17.76%,683.06,85.74%,815.91,
J,09/OCTUBRE/2018,102.17,12.91%,7.95,1.00%,110.04,13.86%,216.30,27.21%,273.38,41.66%,128.88,16.27%,612.49,76.77%,722.33,
V,10/OCTUBRE/2018,128.41,16.02%,10.89,1.37%,112.30,14.19%,166.41,20.91%,296.61,46.02%,113.21,14.29%,572.03,70.83%,712.33,
S,11/OCTUBRE/2018,103.38,12.91%,10.61,1.33%,113.99,14.27%,222.98,27.81%,255.43,39.57%,126.67,19.82%,620.08,76.66%,743.07,
D,12/OCTUBRE/2018,66.38,8.27%,7.95,1.00%,84.32,10.62%,232.48,29.01%,312.00,48.15%,118.34,18.42%,518.00,64.32%,787.34,
L,13/OCTUBRE/2018,73.32,9.16%,21.19,2.68%,98.51,12.43%,33.48,4.20%,898.58,139.14?,45.83,7.16?,24.87,3.87?,718.64,89.29?,262.71,
M,14/OCTUBRE/2018,133.58,16.71%,7.08,0.90%,144.23,18.17%,265.80,33.30?,324.50,50.15?,45.84,7.12?,619.34,76.85?,876.52?,
J,15/OCTUBRE/2018,67.38,8.42%,12.34,1.56%,84.32,10.61%,263.88,32.98?,320.48,49.45?,128.34,19.87?,718.60,88.29?,262.56,
V,16/OCTUBRE/2018,115.64,14.91%,13.06,1.68%,128.70,16.59%,235.44,29.59?,305.66,47.24?,115.96,14.25?,647.06,80.43?,775.76,
M,17/OCTUBRE/2018,118.98,15.21%,12.96,1.66%,131.94,16.79%,191.02,23.99?,279.91,43.16?,134.59,20.73?,640.42,79.13?,778.36,
J,18/OCTUBRE/2018,121.13,15.46%,10.88,1.40%,132.01,16.79%,194.49,24.56?,304.05,47.75?,136.15,21.14?,636.69,78.74?,768.70,
V,19/OCTUBRE/2018,136.70,17.42%,16.31,2.10%,153.63,19.60?,221.23,27.52?,278.00,42.69?,142.86,22.14?,622.09,76.84?,776.72,
S,20/OCTUBRE/2018,103.88,13.16%,6.43,0.83%,110.31,14.06?,177.68,22.15?,218.28,33.72?,110.93,18.06?,503.89,62.24?,611.42,
D,21/OCTUBRE/2018,95.55,12.11%,7.65,0.98%,117.60,14.97?,380.00,47.60?,198.72,30.66?,75.29,11.97?,520.20,64.33?,622.51,
L,22/OCTUBRE/2018,123.95,15.74%,20.29,2.59?,124.92,15.90?,227.42,28.55?,324.00,50.10?,137.57,21.48?,623.08,76.83?,808.00,
M,23/OCTUBRE/2018,112.64,14.32%,13.28,1.64?,134.92,17.16?,227.16,28.11?,317.98,49.35?,150.94,18.03?,683.39,84.54?,980.73,
J,24/OCTUBRE/2018,120.63,15.32%,12.31,1.55?,132.94,16.75?,199.96,24.88?,286.49,44.58?,138.84,17.83?,584.38,72.45?,757.53,
V,25/OCTUBRE/2018,99.13,12.66%,10.62,1.34?,99.75,12.60?,174.92,21.73?,294.40,45.57?,113.73,14.32?,584.67,72.50?,657.92,
S,26/OCTUBRE/2018,115.14,14.59%,9.27,1.18?,124.41,15.78?,210.62,26.25?,256.71,39.70?,125.30,15.83?,595.43,73.72?,672.04,
D,27/OCTUBRE/2018,12.71,1.62%,9.52,1.22?,122.23,15.45?,184.12,22.81?,234.06,36.06?,127.85,16.10?,546.97,67.73?,669.20,
L,28/OCTUBRE/2018,117.11,14.81%,7.73,0.98?,98.43,12.43?,190.63,23.42?,186.02,28.86?,132.69,16.58?,560.14,69.55?,662.98,
M,29/OCTUBRE/2018,85.77,10.86%,11.30,1.41?,93.77,11.81?,160.07,19.72?,305.74,47.37?,158.03,9.84?,534.29,66.74?,833.91,
J,30/OCTUBRE/2018,122.52,15.49%,14.31,1.82?,114.34,14.48?,225.00,27.81?,321.88,49.62?,143.69,18.17?,608.53,75.32?,831.57,
V,31/OCTUBRE/2018,92.85,11.71%,22.79,2.87?,113.44,14.38?,261.96,32.18?,332.48,51.02?,154.09,19.27?,698.53,86.82?,811.57
