DIA,FECHA,AMS_TON,AMS_%,MECANIZADOS_TON,MECANIZADOS_%,TOTAL_AYUNTAMIENTO_TON,TOTAL_AYUNTAMIENTO_%,CONWASTE_DOMINICANA_TON,CONWASTE_DOMINICANA_%,URBALUZ_TON,URBALUZ_%,COMELURSA_TON,COMELURSA_%,TOTAL_PRIVADAS_TON,TOTAL_PRIVADAS_%,TOTAL_GENERAL_TON
V,01/OCTUBRE/2020,95.60,14.37%,2.42,0.00%,95.69,14.97%,210.12,35.55%,239.80,36.01%,120.30,18.07%,50.32,88.56%,666.01
S,02/OCTUBRE/2020,78.30,13.92%,4.41,0.57%,81.05,13.64%,218.73,36.65%,257.38,36.90%,121.51,17.21%,65.76,86.16%,657.91
D,03/OCTUBRE/2020,87.61,15.32%,3.94,0.53%,87.93,15.16%,215.47,36.09%,262.79,37.11%,124.24,22.31%,115.22,63.84%,734.15
L,04/OCTUBRE/2020,89.02,15.74%,5.51,0.75%,101.19,17.30%,276.82,46.70%,276.71,39.12%,134.85,24.05%,67.10,86.58%,770.08
M,05/OCTUBRE/2020,99.68,17.49%,3.54,0.48%,114.20,19.62%,280.49,36.17%,273.66,38.94%,124.92,16.48%,67.71,87.99%,784.15
J,06/OCTUBRE/2020,85.31,14.92%,1.77,0.25%,97.08,16.67%,248.93,33.67%,236.74,33.49%,112.65,15.28%,60.10,79.44%,728.27
V,07/OCTUBRE/2020,109.52,19.27%,13.89,1.92%,119.40,20.45%,206.03,32.15%,228.22,32.61%,110.56,15.26%,35.11,83.05%,640.91
S,08/OCTUBRE/2020,89.91,15.83%,8.25,1.13%,98.16,16.93%,251.11,39.65%,256.39,36.34%,112.27,15.82?,65.77,85.16%,764.47
D,09/OCTUBRE/2020,113.43,20.10%,13.23,1.87%,128.11,21.64%,240.11,37.54%,258.32,36.59?,29.96?,4.03?,105.30,14.07?,72.38,94.38?,792.18
L,10/OCTUBRE/2020,147.27,26.14%,1.43,0.20%,151.60,25.17%,204.38,32.25%,220.12,31.26?,109.48,15.01?,52.08,71.35?,196.32
M,11/OCTUBRE/2020,50.64,8.95%,14.47,2.04%,52.11,8.94%,40.34,6.30%,205.63,29.36?,29.56?,4.03?,103.30,14.07?,72.38,96.38?,792.18
J,12/OCTUBRE/2020,113.14,20.18%,10.60,1.34?,123.74,21.32?,256.43,39.93?,254.98,36.19?,132.77,18.26?,68.11,82.72?,607.69
V,13/OCTUBRE/2020,128.27,22.88%,13.11,1.40?,139.38,23.78?,264.17,41.72?,278.92,39.41?,133.21,18.37?,65.48,84.74?,730.89
S,14/OCTUBRE/2020,110.60,19.46%,2.01,0.27?,112.61,19.56?,248.96,39.13?,241.93,34.73?,132.93,18.37?,94.35,50.77?,665.12
D,15/OCTUBRE/2020,122.46,21.61%,8.13,1.12?,130.59,22.73?,224.73,35.67?,247.88,34.77?,137.68,18.93?,90.53,80.79?,660.41
L,16/OCTUBRE/2020,85.91,15.23%,11.35,1.56?,121.11,21.26?,215.42,34.23?,225.77,31.77?,123.88,17.13?,54.22,82.35?,666.32
J,17/OCTUBRE/2020,126.90,22.42%,4.11,0.56?,129.71,22.51?,158.20,25.09?,241.77,33.70?,144.01,19.33?,145.95,91.49?,658.71
V,18/OCTUBRE/2020,77.31,13.62%,0.96,0.13?,117.26,20.21?,58.81,9.20?,60.40,8.44?,60.40,8.44?,142.31,19.47?,84.25,77.64?,776.32
S,19/OCTUBRE/2020,102.66,18.12%,5.27,0.69?,107.93,18.96?,261.48,41.26?,257.39,36.18?,149.39,20.24?,68.43,86.10?,776.32
D,20/OCTUBRE/2020,97.70,13.25%,2.3,0.29?,99.93,13.15?,262.72,41.56?,236.10,33.36?,141.99,19.57?,60.26,76.65?,716.02
L,21/OCTUBRE/2020,85.99,15.08%,1.68,0.23?,86.17,11.83?,258.15,40.66?,259.21,36.32?,118.79,16.59?,49.25,62.49?,658.11
M,22/OCTUBRE/2020,96.66,16.89%,3.44,0.47?,100.10,13.63?,281.04,44.59?,232.91,32.90?,115.21,16.19?,54.01,67.98?,739.31
J,23/OCTUBRE/2020,73.49,12.72%,1.27,0.17?,79.76,10.79?,209.31,33.18?,241.01,33.69?,105.18,14.75?,49.92,63.17?,606.28
V,24/OCTUBRE/2020,99.39,17.52%,2.7,0.37?,99.76,13.72?,190.28,30.21?,217.13,30.56?,105.18,14.75?,50.32,65.28?,723.05
S,25/OCTUBRE/2020,73.77,12.95%, - , -, 53.27,8.77?,78.63,13.27?,253.27,40.01?,257.73,35.69?,120.60,16.58?,63.06,79.51?,813.28
D,26/OCTUBRE/2020,95.69,16.79%,28.59%,39.60?,125.89,17.51?,267.17,39.09?,272.29,37.79?,140.91,19.45?,63.66,81.66?,860.73
L,27/OCTUBRE/2020,63.77,11.20%,9.56,1.33?,129.87,18.08?,259.33,40.98?,270.42,37.55?,141.91,19.45?,63.66,81.66?,781.15
M,28/OCTUBRE/2020,119.30,20.92%,16.07,2.24?,100.29,13.76?,264.10,41.70?,260.75,36.49?,134.44,18.65?,61.59,86.84?,781.68
J,29/OCTUBRE/2020,98.42,17.28%,1.63,0.23?,108.32,14.98?,200.98,31.78?,243.58,34.49?,134.50,18.45?,71.06,100.?,766.18
V,30/OCTUBRE/2020,112.91,19.60?, -, -, 111.60,15.46?,207.40,32.72?,250.72,35.73?,143.74,19.69?,64.50,87.33?,837.77
S,31/OCTUBRE/2020,92.14,16.14%,3.23,0.44?,98.37,13.67?,230.30,36.32?,250.72,35.73?,118.75,16.42?,64.50,87.33?,824.17
