DIA,FECHA,AMS_TON,AMS_%,MECANIZADOS_TON,MECANIZADOS_%,TOTAL_AYUOTAMENTO_TON,TOTAL_AYUOTAMENTO_%,COMLURSA_TON,COMLURSA_%,URBALUZ_TON,URBALUZ_%,TOTAL_PRIVADAS_TON,TOTAL_PRIVADAS_%,TOTAL_GENERAL_TON,TOTAL_GENERAL_%
V,01/OCTUBRE/2021,6.12,0.87%,-,0.00%,5.22,0.87%,326.81,45.54%,384.58,53.59%,711.39,99.13%,717.61,-
S,02/OCTUBRE/2021,25.38,3.74%,-,0.00%,25.38,3.74%,318.06,46.63%,335.69,49.43%,653.75,96.2%,679.13,-
D,03/OCTUBRE/2021,16.41,6.67%,-,0.00%,16.41,6.67%,107.63,43.75%,121.96,49.58%,229.59,93.33%,246.90,-
L,04/OCTUBRE/2021,32.68,4.20%,-,0.00%,32.68,4.20%,311.27,39.98%,434.60,55.82%,745.87,95.80%,778.55,-
M,05/OCTUBRE/2021,15.20,1.99%,-,0.00%,15.20,1.99%,295.82,38.80%,451.36,57.20%,747.18,98.0%,762.38,-
MI,06/OCTUBRE/2021,9.19,1.23%,-,0.00%,9.19,1.23%,312.89,42.05%,422.07,55.72%,734.96,98.7%,744.15,-
J,07/OCTUBRE/2021,33.63,4.71%,-,0.00%,33.63,4.71%,299.41,41.90%,381.57,53.40%,680.48,95.29%,714.61,-
V,08/OCTUBRE/2021,10.53,1.61%,-,0.00%,10.63,1.61%,267.95,40.14%,383.72,57.95%,651.47,98.39%,662.10,-
S,09/OCTUBRE/2021,21.51,3.41%,-,0.00%,21.61,3.41%,289.91,45.81%,321.31,53.77%,671.22,96.5%,632.83,-
D,10/OCTUBRE/2021,3.98,1.75%,-,0.00%,3.98,1.75%,131.61,57.85%,91.90,40.40%,223.51,98.25%,227.49,-
L,11/OCTUBRE/2021,13.45,1.77%,-,0.00%,13.45,1.77%,314.70,41.41%,431.83,55.82%,746.53,98.2%,759.98,-
M,12/OCTUBRE/2021,20.30,2.65%,-,0.00%,20.30,2.65%,308.07,40.28%,436.44,57.07# tabla_1
<csv>
DIA,FECHA,AMS_TON,AMS_%,MECANIZADOS_TON,MECANIZADOS_%,TOTAL_AYUOTAMENTO_TON,TOTAL_AYUOTAMENTO_%,COMLURSA_TON,COMLURSA_%,URBALUZ_TON,URBALUZ_%,TOTAL_PRIVADAS_TON,TOTAL_PRIVADAS_%,TOTAL_GENERAL_TON,TOTAL_GENERAL_%
V,01/OCTUBRE/2021,6.12,0.87%,-,0.00%,5.22,0.87%,326.81,45.54%,384.58,53.59%,711.39,99.13%,717.61,-
S,02/OCTUBRE/2021,25.38,3.74%,-,0.00%,25.38,3.74%,318.06,46.63%,335.69,49.43%,653.75,96.2%,679.13,-
D,03/OCTUBRE/2021,16.41,6.67%,-,0.00%,16.41,6.67%,107.63,43.75%,121.96,49.58%,229.59,93.33%,246.90,-
L,04/OCTUBRE/2021,32.68,4.20%,-,0.00%,32.68,4.20%,311.27,39.98%,434.60,55.82%,745.87,95.80%,778.55,-
M,05/OCTUBRE/2021,15.20,1.99%,-,0.00%,15.20,1.99%,295.82,38.80%,451.36,57.20%,747.18,98.0%,762.38,-
MI,06/OCTUBRE/2021,9.19,1.23%,-,0.00%,9.19,1.23%,312.89,42.05%,422.07,55.72%,734.96,98.7%,744.15,-
J,07/OCTUBRE/2021,33.63,4.71%,-,0.00%,33.63,4.71%,299.41,41.90%,381.57,53.40%,680.48,95.29%,714.61,-
V,08/OCTUBRE/2021,10.53,1.61%,-,0.00%,10.63,1.61%,267.95,40.14%,383.72,57.95%,651.47,98.39%,662.10,-
S,09/OCTUBRE/2021,21.51,3.41%,-,0.00%,21.61,3.41%,289.91,45.81%,321.31,53.77%,671.22,96.5%,632.83,-
D,10/OCTUBRE/2021,3.98,1.75%,-,0.00%,3.98,1.75%,131.61,57.85%,91.90,40.40%,223.51,98.25%,227.49,-
L,11/OCTUBRE/2021,13.45,1.77%,-,0.00%,13.45,1.77%,314.70,41.41%,431.83,55.82%,746.53,98.2%,759.98,-
M,12/OCTUBRE/2021,20.30,2.65%,-,0.00%,20.30,2.65%,308.07,40.28%,436.44,57.00%,744.51,97.35%,764.81,-
MI,13/OCTUBRE/2021,23.37,3.17%,-,0.00%,23.37,3.17%,301.61,40.29%,412.11,55.71%,713.72,96.8%,737.09,-
J,14/OCTUBRE/2021,11.50,1.63%,-,0.19%,13.02,1.82%,327.54,45.79%,374.78,52.39%,702.32,98.19%,715.34,-
V,15/OCTUBRE/2021,11.30,1.58%,-,0.00%,11.30,1.56%,336.57,47.71%,365.52,51.24%,702.09,98.42%,713.39,-
