COD,FECHA,AMS TON,AMS %,MECANIZADOS TON,MECANIZADOS %,TOTAL AYUNTAMIENTO TON,TOTAL AYUNTAMIENTO %,CONWASTE DOMINICANA TON,CONWASTE DOMINICANA %,URBALUZ TON,URBALUZ %,COMLURSA TON,COMLURSA %,TOTAL PRIVADAS TON,TOTAL PRIVADAS %,TOTAL GENERAL TON
J,01/NOVIEMBRE/2018,114.96,15.44%,15.55,2.09%,130.54,17.54%,192.13,25.81%,299.23,48.75%,122.50,16.46%,613.86,82.46%,744.0
V,02/NOVIEMBRE/2018,124.28,16.89%,16.67,2.27%,140.95,19.16%,207.73,28.23%,253.27,42.58%,133.81,18.19%,944.81,80.84%,735.76
S,03/NOVIEMBRE/2018,86.00,11.90%,15.98,2.17%,104.58,14.37%,185.35,25.36%,218.56,29.81%,116.36,15.88%,304.27,41.83%,622.85
D,04/NOVIEMBRE/2018,21.47,3.36%,6.92,0.95%,12.39,1.71%,33.51,4.52%,100.63,13.72%,50.22*,6.83%,208.37,28.59%,729.76
L,05/NOVIEMBRE/2018,90.74,12.40%,18.91,2.57%,105.65,14.41%,177.77,24.20%,297.87,40.45%,141.34,19.26%,598.60,81.64%,743.53
MI,06/NOVIEMBRE/2018,113.58,15.95%,11.22,1.50%,122.80,16.45%,220.94,29.66%,268.83,36.38%,...
J,07/NOVIEMBRE/2018,137.99,19.22%,10.47,1.38%,159.06,21.60%,195.90,26.87%,275.89,44.11%,126.33,17.00%,818.33,112.00%,746.36
S,08/NOVIEMBRE/2018,101.54,14.12%,10.43,1.48%,111.97,15.30%,214.58,29.67%,234.27,42.93%,123.41,17.32%,972.26,84.10%,704.23
D,09/NOVIEMBRE/2018,95.21,13.42%,9.28,1.35%,104.49,14.36%,183.54,25.47%,205.76,29.66%,104.61,14.52%,931.91,81.54%,598.40
L,10/NOVIEMBRE/2018,31.98,4.52%,34.73,4.91%,66.71,9.18%,134.50,18.57%,114.29,16.40%,60.78,8.22%,209.32,75.83%,276.03
M,11/NOVIEMBRE/2018,128.57,18.09%,27.73,3.94%,151.30,20.73%,256.90,35.45%,304.50,43.77%,126.44,17.70%,671.90,95.27%,839.14
L,12/NOVIEMBRE/2018,140.53,19.68%,3.57,0.51%,173.60,23.84%,223.20,30.81%,285.10,40.63%,105.73,13.39%,614.30,87.76%,789.63
M,13/NOVIEMBRE/2018,184.34,25.88%,35.81,4.99%,175.65,24.20%,216.06,29.87%,263.10,36.42%,132.41,17.79%,619.30,82.80%,784.13
L,14/NOVIEMBRE/2018,142.15,19.92%,23.30,3.27%,165.45,22.79%,215.79,29.69%,300.09,41.49%,143.17,19.25%,618.96,85.91%,764.41
M,15/NOVIEMBRE/2018,137.37,19.32%,5.17,0.72%,163.24,22.35%,178.59,24.55%,273.93,38.25%,142.40,19.22%,610.35,85.24%,764.58
J,16/NOVIEMBRE/2018,87.32,12.32%,40.01,8.45%,172.60,23.69%,198.37,27.40%,275.93,38.49%,127.43,17.32%,615.56,85.91%,763.53
S,17/NOVIEMBRE/2018,87.82,12.32%,11.89,1.60%,103.27,14.24%,190.47,26.26%,239.00,33.25%,125.33,17.04%,619.30,85.91%,763.53
D,18/NOVIEMBRE/2018,65.82,9.25%,14.85,2.08%,80.67,11.14%,235.80,32.46%,111.97,15.65%,57.57,7.86%,233.34,32.46%,304.01
L,19/NOVIEMBRE/2018,104.52,14.63%,18.19,2.57%,119.73,16.46%,257.39,35.10%,314.64,44.13%,73.99,10.13%,278.42,38.34%,827.75
M,20/NOVIEMBRE/2018,98.70,13.88%,10.39,1.33%,109.09,14.92%,240.51,32.46%,307.50,43.95%,121.25,16.58%,699.26,85.98%,827.83
L,21/NOVIEMBRE/2018,110.48,15.61%,9.68,1.32%,120.16,16.63%,213.61,28.91%,274.05,38.53%,123.56,16.89%,612.56,85.37%,731.41
J,22/NOVIEMBRE/2018,123.17,17.36%,11.90,1.68%,133.07,18.40%,185.86,25.33%,290.68,40.60%,117.93,16.02%,574.47,80.96%,709.51
S,23/NOVIEMBRE/2018,133.85,18.90%,11.45,1.59%,160.30,21.99%,205.09,27.39%,262.80,36.55%,121.96,16.62%,595.85,82.61%,709.50
D,24/NOVIEMBRE/2018,95.54,13.56%,9.33,1.30%,104.87,14.36%,170.76,23.14%,229.57,32.14%,116.64,16.18%,317.17,43.14%,622.04
L,25/NOVIEMBRE/2018,49.17,6.96%,4.25,0.59%,53.42,7.41%,32.63,4.09%,151.93,21.09,56.37,7.75%,210.93,29.15,624.33,85.65%,624.33
M,26/NOVIEMBRE/2018,95.17,13.60%,9.33,1.34%,104.47,14.36%,172.63,23.14%,219.53,30.39%,115.63,16.18%,317.17,43.14%,624.33
L,27/NOVIEMBRE/2018,152.46,21.73%,15.83,2.26%,166.32,23.01%,261.66,35.44%,298.12,41.12%,131.65,18.15%,601.45,83.43%,850.77
M,28/NOVIEMBRE/2018,108.36,15.40%,16.45,2.34%,134.11,18.57%,286.86,38.60%,302.93,42.14%,131.20,18.15%,668.41,92.57%,719.61
J,29/NOVIEMBRE/2018,121.86,17.36%,8.46,1.19%,128.32,17.57%,280.86,38.06%,272.95,38.34%,130.23,18.15%,620.04,85.43%,850.76
S,30/NOVIEMBRE/2018,101.84,14.47%,4.86,0.69%,106.70,14.76%,171.23,23.42%,302.68,42.14%,123.40,17.53%,597.27,83.54%,740.97
