DIA,FECHA,AMS_TON,AMS_% ,MECANIZADOS_TON,MECANIZADOS_%,TOTAL_AYUNTAMIENTO_TON,TOTAL_AYUNTAMIENTO_%,CONWASTE_DOMINICANA_TON,CONWASTE_DOMINICANA_%,URBALUZ_TON,URBALUZ_%,COMLURISA_TON,COMLURISA_%,TOTAL_PRIVADAS_TON,TOTAL_PRIVADAS_%,TOTAL_GENERAL_TON,TOTAL_GENERAL_%
D,01/NOVIEMBRE/2020,59.62,26.78%,6.78,0.00%,96.62,26.79%,40.49,18.19%,71.58,32.29%,50.61,12.74%,162.98,73.22%,222.60,100.00%
L,02/NOVIEMBRE/2020,93.33,12.90%,4.13,0.57%,97.66,13.17%,236.09,36.35%,297.02,40.95%,94.51,11.63%,67.68,27.63%,777.27
MI,03/NOVIEMBRE/2020,91.16,12.40%,6.00,0.83%,93.10,12.73%,232.73,35.14%,256.06,38.41%,115.19,16.02%,42.98,15.24%,719.14
M,04/NOVIEMBRE/2020,89.33,12.05%,8.08,1.11%,131.81,17.95%,214.03,29.30%,253.21,36.20%,149.33,20.45%,98.57,85.95%,730.38
V,05/NOVIEMBRE/2020,131.53,17.94%,0.78,1.14%,96.01,13.07%,190.78,26.47%,232.95,32.71%,113.34,15.43%,546.77,81.21%,653.38
S,06/NOVIEMBRE/2020,88.33,12.00%,8.08,1.11%,90.28,12.32%,270.20,37.65%,214.90,30.23%,106.11,14.57%,191.21,86.75%,681.19
D,07/NOVIEMBRE/2020,87.96,12.01%,1.52,0.34%,92.80,12.75%,276.38,38.43%,219.78,31.35%,161.12,22.17%,191.64,86.12%,559.76
L,08/NOVIEMBRE/2020,73.80,10.21%, - ,0.00%,85.08,11.72%,259.31,36.06%,194.70,27.53%,91.57,12.67%,195.67,87.28%,640.63
MI,09/NOVIEMBRE/2020,60.12,8.39%,4.96,0.77%,65.08,8.96%,250.67,34.75%,234.07,33.37%,91.37,12.76%,174.76,78.84%,784.63
M,10/NOVIEMBRE/2020,79.08,10.98%,2.17,0.28%,81.25,11.16%,256.91,35.75%,233.59,33.42%,151.58,21.17%,187.76,84.48%,843.01
V,11/NOVIEMBRE/2020,91.20,12.68%,1.05,0.14%,95.25,13.22%,259.06,36.12%,234.07,33.37%,134.29,18.69%,184.76,82.81%,732.99
S,12/NOVIEMBRE/2020,83.19,11.56%,3.52,0.49%,86.71,11.92%,290.20,40.32%,245.00,34.65%,135.24,19.01%,146.18,65.84%,883.35
D,13/NOVIEMBRE/2020,91.65,12.73%,0.56,0.08%,97.43,13.50%,292.50,40.72%,231.01,32.86%,155.63,21.90%,144.58,64.81%,732.93
L,14/NOVIEMBRE/2020,78.57,10.91%,6.26,0.90%,74.39,10.29%,209.62,29.12%,210.10,29.81%,141.26,19.81%,79.42,35.16%,659.81
MI,15/NOVIEMBRE/2020,73.67,10.31%,1.26,0.18%,79.19,10.94%,99.69,13.81%,201.56,28.72%,101.50,14.10%,159.85,70.61%,73.58
V,16/NOVIEMBRE/2020,84.81,11.72%,2.37,0.32%,87.18,12.04%,8.21,1.17%,177.12,24.91%,181.10,25.41%,50.83,7.07%,454.17,83.26%,741.62
S,17/NOVIEMBRE/2020,132.61,18.42%,1.79,0.25%,134.10,18.48%,5.87,0.82%,388.49,54.53%,387.12,54.73%,27.67,3.81%,481.10,85.32%,815.50
D,18/NOVIEMBRE/2020,136.50,19.04%,3.18,0.44%,139.68,19.36%,4.11,0.57%,355.86,49.82%,351.82,49.66%,43.21,6.07%,278.87,39.33%,633.04,87.33%,823.52
L,19/NOVIEMBRE/2020,91.34,12.73%,6.33,0.89%,97.57,13.57%, - , - ,361.62,51.22%,360.49,51.22%,32.86,4.65%,603.64,85.07%,876.65
MI,20/NOVIEMBRE/2020,109.82,15.34%,2.07,0.29%,111.39,15.49%,1.23,0.17%,364.61,51.61%,363.41,51.61%,28.17,3.97%,654.09,85.39%,855.92
V,21/NOVIEMBRE/2020,96.19,13.46%, - ,0.00%,98.19,13.65%, - , - ,303.49,42.73%,304.11,42.73%,25.69,3.61%,554.70,85.02%,659.89
S,22/NOVIEMBRE/2020,72.54,10.17%,1.91,0.26%,74.45,10.31%, - , - ,194.60,27.65%,193.77,27.65%,60.54,8.57%,474.44,70.33%,676.71
D,23/NOVIEMBRE/2020,97.24,13.60%,2.09,0.30%,89.33,12.44%,0.00,0.00%,253.71,35.87%,253.71,35.87%,28.70,4.07%,178.51,25.68%,706.77
L,24/NOVIEMBRE/2020,82.24,11.46%,1.01,0.27%,81.43,11.47%, - , - ,193.77,27.65%,193.77,27.65%,57.70,8.24%,474.44,68.31%,723.92
MI,25/NOVIEMBRE/2020,102.08,14.24%,2.31,0.33%,104.39,14.62%, - , - ,429.4,60.44%,428.91,60.44%,45.66,6.49%,336.91,47.68%,836.32
V,26/NOVIEMBRE/2020,127.36,17.64%,1.05,0.15%,103.41,14.48%,0.00,0.00%,378.69,53.16%,379.44,53.16%,28.22,3.97%,368.65,52.32%,816.58
S,27/NOVIEMBRE/2020,110.36,15.40%,2.33,0.33%,113.52,15.92%, - , - ,364.92,51.22%,364.82,51.22%,32.79,4.57%,369.85,52.32%,716.32
D,28/NOVIEMBRE/2020,137.11,19.12%,1.63,0.23%,140.52,19.66%,0.00,0.00%,325.28,45.41%,325.28,45.41%,26.87,3.79%,40.70,5.77%,803.93
L,29/NOVIEMBRE/2020,133.53,18.53%,1.63,0.23%,143.18,19.96%, - , - ,325.28,45.41%,325.28,45.41%,26.87,3.79%,40.70,5.77%,739.33
MI,30/NOVIEMBRE/2020,138.55,19.33%,1.63,0.23%,145.02,20.30%, - , - ,325.28,45.41%,325.28,45.41%,26.87,3.79%,40.70,5.77%,739.33
V,01/DICIEMBRE/2020,148.55,20.75%,2.63,0.37%,150.17,20.98%, - , - ,325.28,45.41%,325.28,45.41%,26.87,3.79%,40.70,5.77%,739.33
