Dia,Fecha,Ayuntamiento,Mec_A,Mec_B,Mec_C,Mec_D,Com_A,Com_B,Com_C,Com_D,Con_A,Con_B,Con_C,Con_D,Total_General
M,01MAYO2018,125.53,15.28,12.04,1.47,137.57,16.75,205.67,25.04,320.06,38.96,158.16,19.25,683.89,83.25
MI,02MAYO2018,93.15,13.47,5.46,0.79,98.61,14.26,209.35,30.27,250.82,36.26,132.86,19.21,593.03,85.74
J,03MAYO2018,84.26,11.62,15.55,2.14,99.81,13.76,196.89,27.15,297.34,41.0,131.15,18.08,625.38,86.24
V,04MAYO2018,138.08,17.0,6.08,0.75,144.16,17.75,224.12,27.59,258.97,31.88,185.09,22.78,668.18,82.25
S,05MAYO2018,58.78,9.91,6.65,1.12,65.43,11.04,188.6,31.81,200.4,33.8,138.41,23.35,527.41,68.96
D,06MAYO2018,53.56,22.05,4.79,1.97,58.35,24.02,40.48,16.66,63.69,26.22,80.43,33.11,184.6,75.98
L,07MAYO2018,116.19,12.97,4.87,0.54,121.06,13.52,270.11,30.16,350.41,39.12,154.06,17.2,774.58,86.48
M,08MAYO2018,101.44,11.97,6.1,0.72,107.54,12.69,241.82,28.53,339.03,40.01,158.19,18.79,739.84,87.31
MI,09MAYO2018,111.74,14.91,17.18,2.29,128.92,17.2,202.46,27.02,278.5,37.16,141.39,18.87,622.35,82.8
J,10MAYO2018,99.91,14.41,4.68,0.68,104.59,15.09,170.97,24.67,270.49,39.02,147.06,21.22,588.52,84.91
V,11MAYO2018,118.93,16.29,7.56,1.04,126.49,17.32,209.43,28.68,250.06,34.25,144.19,19.75,603.68,82.68
S,12MAYO2018,65.85,11.5,4.1,0.72,69.95,12.22,180.55,31.53,195.54,34.15,126.36,22.07,502.45,87.78
D,13MAYO2018,49.0,22.6,5.79,2.67,54.79,25.27,36.33,16.76,60.12,27.73,65.57,30.24,162.02,74.73
L,14MAYO2018,106.25,12.56,6.23,0.74,112.48,13.3,252.81,29.9,333.56,39.44,146.8,17.36,733.17,86.7
M,15MAYO2018,109.58,13.7,3.95,0.49,113.53,14.2,229.79,28.74,311.16,38.91,145.14,18.15,686.09,85.8
MI,16MAYO2018,108.77,14.72,6.16,0.83,114.93,15.55,207.65,28.1,273.63,37.03,142.68,19.31,623.96,84.45
J,17MAYO2018,106.13,15.09,6.79,0.97,112.92,16.06,182.66,25.97,276.85,39.36,130.88,18.61,590.39,63.94
V,18MAYO2018,158.27,21.23,6.28,0.84,164.55,22.07,191.26,25.65,247.53,33.2,142.24,19.08,581.03,77.93
S,19MAYO2018,99.66,15.63,5.16,0.81,104.82,16.44,193.12,30.29,210.6,33.03,129.07,20.24,532.79,83.56
D,20MAYO2018,83.42,31.03,7.39,2.75,90.81,33.78,37.91,14.1,70.7,26.3,69.43,25.82,178.04,66.22
L,21MAYO2018,135.42,15.2,15.39,1.73,150.81,16.93,244.01,27.39,336.33,37.75,159.76,17.93,740.1,83.07
M,22MAYO2018,108.59,13.45,9.62,1.19,118.21,14.64,237.95,29.46,303.26,37.55,148.15,18.35,689.36,85.36
MI,23MAYO2018,93.13,12.84,7.05,0.97,100.18,13.81,216.9,29.89,270.26,37.25,138.2,19.05,625.36,86.19
J,24MAYO2018,129.12,17.66,5.04,0.69,134.16,18.34,176.36,24.11,271.03,37.06,149.79,20.48,597.18,81.66
V,25MAYO2018,87.13,12.07,9.11,1.26,96.24,13.33,214.46,29.71,270.12,37.42,140.97,19.53,625.55,86.67
S,26MAYO2018,41.5,7.76,7.07,1.32,48.57,9.08,177.56,33.19,183.26,34.25,125.64,23.48,486.46,90.92
D,27MAYO2018,54.14,25.53,3.47,1.64,57.61,27.17,33.6,15.85,68.5,32.31,52.32,24.68,154.42,72.83
L,28MAYO2018,112.68,13.63,5.41,0.65,118.09,14.29,244.9,29.63,316.37,38.28,147.21,17.81,708.48,85.71
M,29MAYO2018,122.09,15.66,4.77,0.61,126.86,16.27,217.09,27.84,294.53,37.77,141.35,18.13,652.97,83.73
MI,30MAYO2018,178.88,23.33,4.49,0.59,183.37,23.92,198.99,25.96,259.16,33.81,125.11,16.32,583.26,76.08
J,31MAYO2018,44.41,7.8,8.9,1.56,53.31,9.36,155.19,27.25,270.1,47.43,90.92,15.96,516.21,90.64
