DIA,FECHA,AMS,MECANIZADOS,TOTAL_PUB_AMS,TOTAL_PUB_MEC,AYUNTAMIENTO,COMLURSA,URBALUZ,CONSORCIO,ROGER,ETK,TOTAL_PRIVADAS,TOTAL_PRIV_MEC,TOTAL_GENERAL
M,01ABRIL2025,11.73,1.31,11.73,1.31,259.29,29,378.44,42.32,244.74,27.37,882.47,98.69,894.2
MI,02ABRIL2025,10.85,1.32,10.85,1.32,265.05,0,363.26,0,183.71,0,812.02,98.68,822.87
J,03ABRIL2025,11,1.3,11,1.3,238.91,28.19,365.76,43.16,231.87,27.36,836.54,98.7,847.54
V,04ABRIL2025,12.94,1.57,12.94,1.57,236.14,28.74,347.52,42.3,225.03,27.39,808.69,98.43,821.63
S,05ABRIL2025,20.96,2.94,20.96,2.94,215.63,30.25,264.22,37.07,212.01,29.74,691.86,97.06,712.82
D,06ABRIL2025,9.07,4.63,9.07,4.63,46.58,23.78,82.77,42.26,57.44,29.33,186.79,95.37,195.86
L,07ABRIL2025,25.67,2.97,25.67,2.97,252.34,29.17,356.68,41.24,230.25,26.62,839.27,97.03,864.94
M,08ABRIL2025,25.27,3.04,25.27,3.04,212.59,25.61,358.42,43.18,233.78,28.16,804.79,96.96,830.06
MI,09ABRIL2025,16.85,2.13,16.85,2.13,229.97,29.02,319.57,40.33,226.02,28.52,775.56,97.87,792.41
J,10ABRIL2025,17.85,2.3,17.85,2.3,210.97,27.13,326.84,42.03,222.05,28.55,759.86,97.7,777.71
V,11ABRIL2025,11.69,1.55,11.69,1.55,217.14,28.86,351.47,46.72,171.99,22.86,740.6,98.45,752.29
S,12ABRIL2025,3.81,0.56,3.81,0.56,221.39,32.8,239.78,35.53,209.89,31.1,671.06,99.44,674.87
D,13ABRIL2025,16.9,7.22,16.9,7.22,57.09,24.39,106.6,45.54,53.5,22.85,217.19,92.78,234.09
L,14ABRIL2025,21.59,2.45,21.59,2.45,251.23,28.55,346.44,39.38,260.57,29.62,858.24,97.55,879.83
M,15ABRIL2025,16.71,1.89,16.71,1.89,243.32,27.5,367.26,41.51,257.55,29.11,868.13,98.11,884.84
MI,16ABRIL2025,11.81,1.46,11.81,1.46,227.99,28.24,360.97,44.72,206.43,25.57,795.39,98.54,807.2
J,17ABRIL2025,13.8,1.77,13.8,1.77,196.68,25.22,343.15,44,226.32,29.02,766.15,98.23,779.95
V,18ABRIL2025,7.44,2.81,7.44,2.81,52.08,19.67,149.39,56.43,55.81,21.08,257.28,97.19,264.72
S,19ABRIL2025,24.27,3.6,24.27,3.6,222.87,33.04,263.55,39.07,163.83,24.29,650.25,96.4,674.52
D,20ABRIL2025,15.01,6.51,15.01,6.51,52.98,22.98,102.72,44.55,59.88,25.97,215.58,93.49,230.59
L,21ABRIL2025,18.23,2.06,18.23,2.06,249.72,28.26,357.72,40.49,257.83,29.18,865.27,97.94,883.5
M,22ABRIL2025,11.23,1.34,11.23,1.34,219.97,26.35,358.67,42.96,245.08,29.35,823.72,98.66,834.95
MI,23ABRIL2025,52.27,5.68,52.27,5.68,250.28,27.2,378.86,41.17,238.72,25.94,867.86,94.32,920.13
J,24ABRIL2025,20.53,2.35,20.53,2.35,245.18,28.11,364.66,41.81,241.89,27.73,851.73,97.65,872.26
V,25ABRIL2025,13.22,1.69,13.22,1.69,233.29,29.75,332.31,42.38,205.34,26.19,770.94,98.31,784.16
S,26ABRIL2025,13,2.21,13,2.21,190.6,32.37,198.16,33.66,186.98,31.76,575.74,97.79,588.74
D,27ABRIL2025,13.38,5.7,13.38,5.7,65.94,28.1,85.91,36.61,69.44,29.59,221.29,94.3,234.67
L,28ABRIL2025,4.35,0.49,4.35,0.49,259.82,29.33,387.18,43.71,234.4,26.46,881.4,99.51,885.75
M,29ABRIL2025,24.99,2.61,24.99,2.61,237.91,24.81,421.12,43.91,275.07,28.68,934.1,97.39,959.09
MI,30ABRIL2025,56.35,6.15,56.35,6.15,260.26,28.43,395.89,43.24,203.08,22.18,859.22,93.85,915.57
