DIA,FECHA,AMS,MECANIZADOS,TOTAL,AYUNTAMIENTO,COMURSA,URBALUZ,CONSORCIO,ROGER,ETK,TOTAL,PRIVADAS,TOTAL,GENERAL
J,01MAYO2025,25.23,2.99,-,0.00,25.23,2.99,243.14,28.82,378.90,44.91,196.42,23.28,818.46
V,02MAYO2025,25.99,3.23,-,0.00,25.99,3.23,237.13,0.00,336.97,0.00,205.76,0.00,779.86
S,03MAYO2025,41.55,6.11,-,0.00,41.55,6.11,183.93,27.04,268.87,39.52,185.95,27.33,638.75
D,04MAYO2025,25.28,10.45,-,0.00,25.28,10.45,55.52,22.96,76.52,31.64,84.52,34.95,216.56
L,05MAYO2025,26.63,3.61,-,0.00,26.63,3.61,193.54,26.26,342.94,46.52,174.03,23.61,710.51
M,06MAYO2025,52.17,5.61,-,0.00,52.17,5.61,268.76,28.93,380.44,40.95,227.76,24.51,876.96
MI,07MAYO2025,73.61,7.90,-,0.00,73.61,7.90,264.68,28.39,347.85,37.31,246.17,26.40,858.70
J,08MAYO2025,25.42,2.94,-,0.00,25.42,2.94,222.66,0.00,355.92,0.00,260.42,30.13,839.00
V,09MAYO2025,29.80,3.54,-,0.00,29.80,3.54,228.58,27.12,365.38,43.35,219.10,25.99,813.06
S,10MAYO2025,29.41,4.18,-,0.00,29.41,4.18,199.90,28.40,277.37,39.41,197.17,28.01,674.44
D,11MAYO2025,21.23,9.87,-,0.00,21.23,9.87,42.60,19.80,101.11,47.00,50.20,23.33,193.91
L,12MAYO2025,54.80,5.99,-,0.00,54.80,5.99,253.33,27.68,360.75,39.41,246.42,26.92,860.50
M,13MAYO2025,33.47,3.91,-,0.00,33.47,3.91,244.54,28.58,341.27,39.89,236.33,27.62,822.14
MI,14MAYO2025,33.11,3.77,-,0.00,33.11,3.77,240.30,27.39,358.78,40.89,245.29,27.95,844.37
J,15MAYO2025,34.78,4.05,-,0.00,34.78,4.05,232.86,27.09,365.98,42.58,225.82,26.28,824.66
V,16MAYO2025,32.85,4.22,-,0.00,32.85,4.22,226.28,29.10,347.18,44.65,171.23,22.02,744.69
S,17MAYO2025,29.55,4.31,-,0.00,29.55,4.31,225.33,32.89,263.56,38.47,166.59,24.32,655.48
D,18MAYO2025,56.10,19.91,-,0.00,56.10,19.91,51.28,18.20,95.34,33.84,78.99,28.04,225.61
L,19MAYO2025,39.59,0.00,-,0.00,39.59,0.00,257.32,0.00,374.90,0.00,243.77,26.62,875.99
M,20MAYO2025,36.01,3.72,-,0.00,36.01,3.72,291.16,30.09,366.04,37.83,274.33,28.35,931.53
MI,21MAYO2025,38.65,4.92,-,0.00,38.65,4.92,229.40,29.18,326.22,41.50,191.77,24.40,747.39
J,22MAYO2025,14.90,1.86,-,0.00,14.90,1.86,233.81,29.12,343.79,42.81,210.48,26.21,788.08
V,23MAYO2025,24.27,3.19,-,0.00,24.27,3.19,218.98,28.81,314.06,41.32,202.81,26.68,735.85
S,24MAYO2025,22.80,3.32,-,0.00,22.80,3.32,182.59,26.58,283.78,41.31,197.70,28.78,664.07
D,25MAYO2025,22.77,12.37,-,0.00,22.77,12.37,32.27,17.54,74.71,40.60,54.26,29.49,161.24
L,26MAYO2025,44.68,5.14,-,0.00,44.68,5.14,243.85,28.03,326.74,37.56,254.76,29.28,825.35
M,27MAYO2025,47.90,4.89,-,0.00,47.90,4.89,252.52,25.78,409.71,41.83,269.34,27.50,931.57
MI,28MAYO2025,33.99,3.95,-,0.00,33.99,3.95,259.47,30.16,354.78,41.24,212.13,24.66,826.38
J,29MAYO2025,32.73,3.68,-,0.00,32.73,3.68,252.82,28.39,363.01,40.76,241.96,27.17,857.79
V,30MAYO2025,43.77,4.87,-,0.00,43.77,4.87,238.65,26.54,372.44,41.41,244.50,27.19,855.58
31MAYO,DEL,2025,32.94,4.52,-,0.00,32.94,4.52,195.18,26.77,315.91,43.33,185.10,25.39
TOTALES,"1,085.98",4.64,-,0.00,"1,085.98",4.64,"6,502.37",27.81,"9,591.22",41.02,"6,201.08",26.52,"22,294.67",95.36
