Dia_Semana,Fecha,AMS,Mecanizados,Total_Ayuntamiento,Total_COMURSA,Ayuntamiento,COMURSA,URBALUZ,Consorcio,ECOGERICK,ETK,Total_Privadas,Total_General,TON
D,01JUNIO2025,32.51,50.00,32.51,50.00,75.73,116.47,110.07,169.29,57.30,88.13,32.51,50.00,65.02
L,02JUNIO2025,44.44,4.57,44.44,4.57,288.47,29.65,387.55,39.84,252.35,25.94,928.37,95.43,972.81
M,03JUNIO2025,35.07,3.74,35.07,3.74,280.75,29.95,403.28,43.02,218.25,23.28,902.28,96.26,937.35
MI,04JUNIO2025,46.59,5.21,46.59,5.21,246.26,27.51,369.60,41.30,232.56,25.98,848.42,94.79,895.01
J,05JUNIO2025,37.11,3.94,37.11,3.94,239.77,25.45,405.42,43.03,259.86,27.58,905.05,96.06,942.16
V,06JUNIO2025,39.07,4.54,39.07,4.54,233.91,27.19,373.17,43.38,214.14,24.89,821.22,95.46,860.29
S,07JUNIO2025,72.83,9.42,72.83,9.42,228.95,29.60,277.74,35.91,193.93,25.07,700.62,90.58,773.45
D,08JUNIO2025,30.67,11.01,30.67,11.01,58.68,21.06,100.57,36.09,88.75,31.85,248.00,88.99,278.67
L,09JUNIO2025,47.14,4.79,47.14,4.79,268.21,27.25,409.91,41.65,258.93,26.31,937.05,95.21,984.19
M,10JUNIO2025,47.45,4.91,47.45,4.91,241.22,24.97,409.68,42.42,267.50,27.70,918.40,95.09,965.85
MI,11JUNIO2025,42.33,4.52,42.33,4.52,273.47,29.18,382.81,40.85,238.54,25.45,894.82,95.48,937.15
J,12JUNIO2025,46.98,4.99,46.98,4.99,258.27,27.45,388.79,41.33,246.68,26.22,893.74,95.01,940.72
V,13JUNIO2025,57.05,6.40,57.05,6.40,247.88,27.83,360.66,40.49,225.18,25.28,833.72,93.60,890.77
S,14JUNIO2025,37.58,4.60,37.58,4.60,226.31,27.72,320.58,39.27,231.94,28.41,778.83,95.40,816.41
D,15JUNIO2025,35.17,13.70,35.17,13.70,55.47,21.61,98.20,38.25,67.87,26.41,221.54,86.30,256.71
L,16JUNIO2025,42.84,4.43,42.84,4.43,268.79,27.77,393.90,40.69,262.49,27.12,925.18,95.57,968.02
M,17JUNIO2025,43.34,4.55,43.34,4.55,254.83,26.78,402.04,42.25,251.32,26.41,908.19,95.45,951.53
MI,18JUNIO2025,48.83,5.07,48.83,5.07,265.38,27.58,386.36,40.15,261.63,27.19,913.37,94.93,962.20
J,19JUNIO2025,33.98,4.22,33.98,4.22,186.22,23.14,370.05,45.98,214.58,26.66,770.85,95.78,804.83
V,20JUNIO2025,35.93,4.25,35.93,4.25,223.95,26.50,346.78,41.03,238.59,28.23,809.32,95.75,845.25
S,21JUNIO2025,34.39,4.76,34.39,4.76,198.03,27.42,277.06,38.36,212.81,29.46,687.90,95.24,722.29
D,22JUNIO2025,28.64,11.98,28.64,11.98,42.88,17.93,94.11,39.35,73.51,30.74,210.50,88.02,239.14
L,23JUNIO2025,31.78,3.21,31.78,3.21,276.57,27.90,420.18,42.39,262.77,26.51,959.52,96.79,991.30
M,24JUNIO2025,32.61,3.43,32.61,3.43,247.58,26.05,398.64,41.95,271.50,28.57,917.72,96.57,950.33
MI,25JUNIO2025,52.55,5.44,52.55,5.44,276.76,28.63,395.25,40.89,242.07,25.04,914.08,94.56,966.63
J,26JUNIO2025,42.64,4.74,42.64,4.74,217.63,24.17,391.57,43.49,248.48,27.60,857.68,95.26,900.32
V,27JUNIO2025,41.69,4.53,41.69,4.53,243.88,26.50,374.75,40.72,260.06,28.26,878.69,95.47,920.38
S,28JUNIO2025,37.84,4.60,37.84,4.60,229.01,27.82,301.39,36.62,254.84,30.96,785.24,95.40,823.08
D,29JUNIO2025,31.98,12.98,31.98,12.98,54.88,22.28,90.39,36.69,69.09,28.05,214.36,87.02,246.34
L,30JUNIO2025,46.48,4.82,46.48,4.82,263.71,27.36,401.89,41.70,251.68,26.11,917.28,95.18,963.76
