Dia_Semana,Fecha,AMS,Mecanizados,Total_Ayuntamiento,Total_COMLURSA,Ayuntamiento,COMLURSA,URBALUZ,Consorcio,ROGER,ETK,Total_Privadas,Total_General,TON
M,01JULIO2025,43.62,50.00,43.62,50.00,247.45,283.64,372.14,426.57,203.40,233.15,822.99,94.97,866.61
I,02JULIO2025,51.95,5.94,51.95,5.94,252.50,28.89,368.61,42.18,200.84,22.98,821.95,94.06,873.90
J,03JULIO2025,37.88,4.27,37.88,4.27,246.84,27.84,365.12,41.18,236.90,26.72,848.86,95.73,886.74
V,04JULIO2025,35.04,4.07,35.04,4.07,244.01,28.35,365.19,42.42,216.56,25.16,825.76,95.93,860.80
S,05JULIO2025,31.90,4.52,31.90,4.52,224.21,31.77,270.41,38.32,179.22,25.39,673.84,95.48,705.74
D,06JULIO2025,32.30,13.29,32.30,13.29,39.75,16.36,100.50,41.35,70.47,29.00,210.72,86.71,243.02
L,07JULIO2025,52.24,5.56,52.24,5.56,267.42,28.46,380.01,40.44,239.92,25.53,887.35,94.44,939.59
M,08JULIO2025,44.77,4.80,44.77,4.80,247.58,26.53,388.80,41.66,252.16,27.02,888.54,95.20,933.31
I,09JULIO2025,47.27,5.59,47.27,5.59,241.10,28.51,355.37,42.02,201.95,23.88,798.42,94.41,845.69
J,10JULIO2025,38.76,4.49,38.76,4.49,212.91,24.65,364.62,42.22,247.33,28.64,824.86,95.51,863.62
V,11JULIO2025,42.45,4.82,42.45,4.82,243.42,27.61,363.82,41.27,231.84,26.30,839.08,95.18,881.53
S,12JULIO2025,36.62,5.00,36.62,5.00,213.47,29.17,267.39,36.53,214.43,29.30,695.29,95.00,731.91
D,13JULIO2025,28.36,11.32,28.36,11.32,49.57,19.78,108.65,43.36,63.99,25.54,222.21,88.68,250.57
L,14JULIO2025,46.82,5.43,46.82,5.43,254.12,29.48,339.51,39.38,221.62,25.71,815.25,94.57,862.07
M,15JULIO2025,34.26,3.71,34.26,3.71,262.18,28.41,395.68,42.88,230.59,24.99,888.45,96.29,922.71
I,16JULIO2025,43.11,5.22,43.11,5.22,219.27,26.53,337.23,40.81,226.83,27.45,783.33,94.78,826.44
J,17JULIO2025,44.61,5.54,44.61,5.54,215.09,26.69,333.59,41.40,212.47,26.37,761.15,94.46,805.76
V,18JULIO2025,43.73,5.14,43.73,5.14,234.25,27.52,343.02,40.29,230.31,27.05,807.58,94.86,851.31
S,19JULIO2025,39.08,4.98,39.08,4.98,208.77,26.63,299.11,38.15,237.02,30.23,744.90,95.02,783.98
D,20JULIO2025,26.79,9.74,26.79,9.74,55.88,20.33,102.82,37.40,89.43,32.53,248.13,90.26,274.92
L,21JULIO2025,46.11,5.37,46.11,5.37,239.23,27.86,361.78,42.13,211.60,24.64,812.61,94.63,858.72
M,22JULIO2025,33.70,3.85,33.70,3.85,245.59,28.05,356.29,40.70,239.84,27.40,841.72,96.15,875.42
I,23JULIO2025,37.41,4.43,37.41,4.43,223.65,26.50,358.31,42.46,224.58,26.61,806.54,95.57,843.95
J,24JULIO2025,42.78,5.11,42.78,5.11,213.64,25.54,344.97,41.24,235.01,28.10,793.62,94.89,836.40
V,25JULIO2025,34.73,4.28,34.73,4.28,202.44,24.97,345.38,42.59,228.31,28.16,776.13,95.72,810.86
S,26JULIO2025,39.23,5.85,39.23,5.85,180.44,26.91,258.87,38.60,192.07,28.64,631.38,94.15,670.61
D,27JULIO2025,31.21,14.37,31.21,14.37,37.52,17.28,73.45,33.82,74.99,34.53,185.96,85.63,217.17
L,28JULIO2025,42.60,4.87,42.60,4.87,238.04,27.21,369.55,42.24,224.64,25.68,832.23,95.13,874.83
M,29JULIO2025,42.53,4.74,42.53,4.74,241.78,26.94,369.70,41.20,243.37,27.12,854.85,95.26,897.38
I,30JULIO2025,41.24,4.88,41.24,4.88,240.56,28.49,354.33,41.96,208.27,24.66,803.16,95.12,844.40
J,31JULIO2025,36.20,4.33,36.20,4.33,208.05,24.91,356.00,42.63,234.87,28.12,798.92,95.67,835.12
