DIA,FECHA,AMS,MECANIZADOS,TOTAL,AYUNTAMIENTO,COMURSA,URBALUZ,CONSORCIO,ROGER,ETK,TOTAL,PRIVADAS,TOTAL,GENERAL
L,1SEPTIEMBRE20,37.91,4.47,37.91,4.47,223.22,26.33,340.14,40.12,246.5,29.08,809.86,95.53,847.77
M,2SEPTIEMBRE20,33.9,4.41,33.9,4.41,212.81,27.69,315.63,41.06,206.34,26.84,734.78,95.59,768.68
MI,3SEPTIEMBRE20,45.3,5.32,45.3,5.32,229.38,26.96,368.09,43.26,208.11,24.46,805.58,94.68,850.88
J,4SEPTIEMBRE20,41.09,5.13,41.09,5.13,190.28,23.74,353.47,44.11,216.55,27.02,760.3,94.87,801.39
V,5SEPTIEMBRE20,49.34,6.06,49.34,6.06,213.79,26.26,346.56,42.58,204.3,25.1,764.65,93.94,813.99
S,6SEPTIEMBRE20,47.75,6.96,47.75,6.96,200.59,29.23,264.18,38.5,173.74,25.32,638.51,93.04,686.26
D,7SEPTIEMBRE20,29.76,11.33,29.76,11.33,55.36,21.08,105.4,40.14,72.08,27.45,232.84,88.67,262.6
L,8SEPTIEMBRE20,46.38,5.5,46.38,5.5,213.24,25.28,355.25,42.12,228.59,27.1,797.08,94.5,843.46
M,9SEPTIEMBRE20,46.54,5.24,46.54,5.24,233.14,26.25,353.19,39.76,255.41,28.75,841.74,94.76,888.28
MI,10SEPTIEMBRE20,34.65,4.24,34.65,4.24,200.07,24.47,357.47,43.72,225.45,27.57,782.99,95.76,817.64
J,11SEPTIEMBRE20,28.91,3.58,28.91,3.58,211.88,26.26,358.02,44.37,208.09,25.79,777.99,96.42,806.9
V,12SEPTIEMBRE20,37.75,4.74,37.75,4.74,206.44,25.91,348.98,43.81,203.45,25.54,758.87,95.26,796.62
S,13SEPTIEMBRE20,33.92,5.05,33.92,5.05,174.12,25.92,268.65,40,194.99,29.03,637.76,94.95,671.68
D,14SEPTIEMBRE20,25.79,9.1,25.79,9.1,43,15.17,118.35,41.74,96.4,34,257.75,90.9,283.54
L,15SEPTIEMBRE20,36.41,4.05,36.41,4.05,217.72,24.24,383.24,42.68,260.67,29.03,861.63,95.95,898.04
M,16SEPTIEMBRE20,29.51,3.32,29.51,3.32,236.71,26.65,380.97,42.9,240.88,27.12,858.56,96.68,888.07
MI,17SEPTIEMBRE20,32.97,4.07,32.97,4.07,235.6,29.07,326.6,40.29,215.39,26.57,777.59,95.93,810.56
J,18SEPTIEMBRE20,25.39,3.42,25.39,3.42,197.95,26.64,290.28,39.07,229.34,30.87,717.57,96.58,742.96
V,19SEPTIEMBRE20,37.8,4.55,37.8,4.55,216.02,25.98,342,41.13,235.74,28.35,793.76,95.45,831.56
S,20SEPTIEMBRE20,39.85,5.79,39.85,5.79,174.32,25.34,275.08,39.99,198.62,28.87,648.02,94.21,687.87
D,21SEPTIEMBRE20,30.34,11.34,30.34,11.34,51.38,19.2,112.18,41.92,73.72,27.55,237.28,88.66,267.62
L,22SEPTIEMBRE20,40.07,4.7,40.07,4.7,212.85,24.97,362.95,42.58,236.49,27.75,812.29,95.3,852.36
M,23SEPTIEMBRE20,42.78,5.08,42.78,5.08,195.97,23.27,364.63,43.29,238.86,28.36,799.46,94.92,842.24
MI,24SEPTIEMBRE20,34.11,4.79,34.11,4.79,167.03,23.48,338.44,47.57,171.88,24.16,677.35,95.21,711.46
J,25SEPTIEMBRE20,27.71,3.55,27.71,3.55,170.34,21.82,350.92,44.95,231.74,29.68,753,96.45,780.71
V,26SEPTIEMBRE20,44.4,5.21,44.4,5.21,205.89,24.14,350.55,41.1,252.09,29.56,808.53,94.79,852.93
S,27SEPTIEMBRE20,37.72,5.56,37.72,5.56,173.01,25.49,251.36,37.03,216.77,31.93,641.14,94.44,678.86
D,28SEPTIEMBRE20,24.31,11.05,24.31,11.05,45.96,20.9,77.23,35.12,72.41,32.93,195.6,88.95,219.91
L,29SEPTIEMBRE20,41.82,4.96,41.82,4.96,217.04,25.76,365.29,43.36,218.39,25.92,800.72,95.04,842.54
M,30SEPTIEMBRE20,28.67,3.61,28.67,3.61,208.77,26.32,372.02,46.9,183.68,23.16,764.47,96.39,793.14
