Dia,Fecha,Total_General,Mes,Num_Dia
V,01082025,817.85,Agosto,1
S,02082025,678.47,Agosto,2
D,03082025,270.02,Agosto,3
L,04082025,954.45,Agosto,4
M,05082025,920.57,Agosto,5
MI,06082025,830.69,Agosto,6
J,07082025,826.42,Agosto,7
V,08082025,840.39,Agosto,8
S,09082025,762.09,Agosto,9
D,10082025,295.62,Agosto,10
L,11082025,924.61,Agosto,11
M,12082025,889.82,Agosto,12
MI,13082025,828.63,Agosto,13
J,14082025,787.34,Agosto,14
V,15082025,867.48,Agosto,15
S,16082025,663.75,Agosto,16
D,17082025,244.04,Agosto,17
L,18082025,887.03,Agosto,18
M,19082025,883.56,Agosto,19
MI,20082025,803.5,Agosto,20
J,21082025,824.33,Agosto,21
V,22082025,757.76,Agosto,22
S,23082025,685.35,Agosto,23
D,24082025,260.98,Agosto,24
L,25082025,894.57,Agosto,25
M,26082025,817.03,Agosto,26
MI,27082025,815.95,Agosto,27
J,28082025,778.89,Agosto,28
V,29082025,817.01,Agosto,29
S,30082025,690.59,Agosto,30
D,31082025,251.58,Agosto,31
L,1SEPTIEMBRE20,847.77,Septiembre,1
M,2SEPTIEMBRE20,768.68,Septiembre,2
MI,3SEPTIEMBRE20,850.88,Septiembre,3
J,4SEPTIEMBRE20,801.39,Septiembre,4
V,5SEPTIEMBRE20,813.99,Septiembre,5
S,6SEPTIEMBRE20,686.26,Septiembre,6
D,7SEPTIEMBRE20,262.6,Septiembre,7
L,8SEPTIEMBRE20,843.46,Septiembre,8
M,9SEPTIEMBRE20,888.28,Septiembre,9
MI,10SEPTIEMBRE20,817.64,Septiembre,10
J,11SEPTIEMBRE20,806.9,Septiembre,11
V,12SEPTIEMBRE20,796.62,Septiembre,12
S,13SEPTIEMBRE20,671.68,Septiembre,13
D,14SEPTIEMBRE20,283.54,Septiembre,14
L,15SEPTIEMBRE20,898.04,Septiembre,15
M,16SEPTIEMBRE20,888.07,Septiembre,16
MI,17SEPTIEMBRE20,810.56,Septiembre,17
J,18SEPTIEMBRE20,742.96,Septiembre,18
V,19SEPTIEMBRE20,831.56,Septiembre,19
S,20SEPTIEMBRE20,687.87,Septiembre,20
D,21SEPTIEMBRE20,267.62,Septiembre,21
L,22SEPTIEMBRE20,852.36,Septiembre,22
M,23SEPTIEMBRE20,842.24,Septiembre,23
MI,24SEPTIEMBRE20,711.46,Septiembre,24
J,25SEPTIEMBRE20,780.71,Septiembre,25
V,26SEPTIEMBRE20,852.93,Septiembre,26
S,27SEPTIEMBRE20,678.86,Septiembre,27
D,28SEPTIEMBRE20,219.91,Septiembre,28
L,29SEPTIEMBRE20,842.54,Septiembre,29
M,30SEPTIEMBRE20,793.14,Septiembre,30
