DIA,FECHA,AMS,MECANIZADOS,TOTAL,AYUNTAMIENTO,COMLURSA,URBALUZ,CONSORCIO,ROGER,ETK,TOTAL PRIVADAS,TOTAL GENERAL
-,0.0,22.3,13.4,25.94,15.59,109.16,65.6,9.0,5.41,144.1,86.6,166.4
-,0.0,37.7,4.72,264.01,33.03,436.37,54.6,61.16,7.65,761.54,95.28,799.24
-,0.0,26.33,3.39,275.72,35.49,431.53,55.54,43.39,5.58,750.64,96.61,776.97
-,0.0,33.6,4.31,269.18,34.51,410.42,52.61,66.88,8.57,746.48,95.69,780.08
-,0.0,37.33,9.9,113.27,30.04,182.17,48.31,44.33,11.76,339.77,90.1,377.1
-,0.0,22.11,3.11,269.18,37.82,364.51,51.22,55.86,7.85,689.55,96.89,711.66
-,0.0,44.4,5.84,254.3,33.43,406.62,53.45,55.41,7.28,716.33,94.16,760.73
-,0.0,35.48,4.61,263.06,34.18,408.36,53.06,62.68,8.14,734.1,95.39,769.58
-,0.0,36.59,4.82,274.03,36.11,406.27,53.54,41.99,5.53,722.29,95.18,758.88
-,0.0,31.46,4.21,276.41,37.01,394.62,52.84,44.36,5.94,715.39,95.79,746.85
-,0.0,36.86,5.27,253.71,36.26,330.64,47.25,78.58,11.23,662.93,94.73,699.79
-,0.0,28.91,11.63,52.72,21.21,105.78,42.56,61.12,24.59,219.62,88.37,248.53
-,0.0,33.42,4.33,246.05,31.88,412.12,53.4,80.2,10.39,738.37,95.67,771.79
-,0.0,32.63,4.01,265.5,32.63,424.91,52.21,90.74,11.15,781.15,95.99,813.78
-,0.0,29.59,3.8,261.13,33.52,393.84,50.56,94.43,12.12,749.4,96.2,778.99
-,0.0,32.61,4.47,248.48,34.05,364.13,49.9,84.54,11.58,697.15,95.53,729.76
-,0.0,32.88,4.26,256.29,33.24,386.54,50.14,95.25,12.35,738.08,95.74,770.96
-,0.0,28.0,4.54,228.35,37.0,268.45,43.49,92.42,14.97,589.22,95.46,617.22
-,0.0,14.72,5.77,57.54,22.55,134.9,52.87,48.01,18.81,240.45,94.23,255.17
-,0.0,21.29,2.57,281.15,33.97,398.53,48.15,126.76,15.31,806.44,97.43,827.73
-,0.0,28.89,3.91,205.94,27.87,356.02,48.17,148.17,20.05,710.13,96.09,739.02
-,0.0,33.17,4.37,239.38,31.54,350.49,46.18,135.85,17.9,725.72,95.63,758.89
-,0.0,43.52,5.41,229.54,28.6,370.59,46.11,159.92,19.92,760.25,94.59,803.77
-,0.0,60.99,7.73,241.71,30.65,356.18,45.16,129.83,16.46,727.72,92.27,788.71
-,0.0,34.28,7.1,54.27,11.23,274.72,56.86,119.88,24.81,448.87,92.9,483.15
-,0.0,32.64,12.71,56.77,22.1,95.64,37.23,71.81,27.96,224.22,87.29,256.86
-,0.0,25.65,3.11,280.66,33.98,392.8,47.55,126.95,15.37,800.41,96.89,826.06
-,0.0,30.13,3.54,274.76,32.25,402.22,47.22,144.74,16.99,821.72,96.46,851.85
-,0.0,33.24,4.35,274.36,35.89,333.24,43.63,123.17,16.13,730.47,95.65,763.71
-,0.0,23.33,2.77,294.31,34.91,363.47,43.11,161.99,19.21,819.77,97.23,843.1
0.00,25.26,3.2,264.45,33.5,353.75,44.82,145.88,18.48,764.08,96.8,789.34,
0.00,989.31,4.7,6852.17,32.53,10418.99,49.46,2805.2,13.32,20076.37,95.3,21065.68,
