DA,FECHA,AMS,MECANIZADOS,TOTAL,AYUNTAMIENTO,COMLURSA,URBALUZ,CONSORCIO,ROGER,ETK,TOTAL PRIVADAS,TOTAL GENERAL
-,0.0,20.1,2.65,243.08,32.04,368.32,48.55,127.09,16.75,738.49,97.35,758.59
-,0.0,22.18,10.17,51.88,23.8,106.99,49.07,36.97,16.96,195.84,89.83,218.02
-,0.0,30.56,3.52,285.66,32.92,386.11,44.49,165.51,19.07,837.28,96.48,867.84
-,0.0,27.43,3.57,239.34,31.18,367.43,47.86,133.46,17.39,740.23,96.43,767.66
-,0.0,22.64,2.79,271.54,33.46,380.45,46.89,136.78,16.86,788.8,97.21,811.44
-,0.0,38.52,4.78,271.71,33.74,337.72,41.94,157.29,19.53,766.72,95.22,805.24
-,0.0,17.92,2.36,229.09,30.15,319.96,42.11,192.77,25.37,741.82,97.64,759.74
-,0.0,23.62,3.44,201.26,29.35,288.08,42.01,172.82,25.2,662.16,96.56,685.78
-,0.0,21.49,8.42,58.14,22.79,113.77,44.6,61.7,24.19,233.61,91.58,255.1
-,0.0,17.96,1.98,296.3,32.63,386.08,42.51,207.78,22.88,890.16,98.02,908.12
-,0.0,20.79,2.65,223.69,28.51,347.45,44.28,192.8,24.57,763.94,97.35,784.73
-,0.0,20.71,2.62,253.66,32.11,348.19,44.08,167.41,21.19,769.26,97.38,789.97
-,0.0,16.06,2.12,218.5,28.8,369.21,48.66,154.97,20.42,742.65,97.88,758.74
-,0.0,12.92,1.75,242.29,32.77,327.1,44.24,157.13,21.25,726.52,98.25,739.44
-,0.0,20.42,3.05,198.11,29.54,297.26,44.33,154.78,23.08,650.15,96.95,670.57
-,0.0,10.73,4.84,46.87,21.13,97.01,43.74,67.2,30.3,211.08,95.16,221.81
-,0.0,25.78,3.05,261.56,30.9,359.74,42.49,199.5,23.57,820.8,96.95,846.58
-,0.0,22.57,2.68,240.36,28.49,387.61,45.94,193.17,22.9,821.14,97.32,843.71
-,0.0,16.43,2.03,240.21,29.68,373.7,46.17,179.0,22.12,792.91,97.97,809.34
-,0.0,19.34,2.46,217.94,27.72,335.92,42.73,213.0,27.09,766.86,97.54,786.2
-,0.0,18.18,2.43,221.4,29.58,332.01,44.35,176.94,23.64,730.35,97.57,748.53
-,0.0,24.82,3.93,187.64,29.74,228.37,36.2,190.03,30.12,606.04,96.07,630.86
-,0.0,6.59,3.1,48.66,22.87,91.84,43.16,65.72,30.88,206.22,96.9,212.81
-,0.0,17.98,2.15,230.55,27.61,375.52,44.98,210.9,25.26,816.97,97.85,834.95
-,0.0,20.8,2.42,246.84,28.77,388.64,45.3,201.62,23.5,837.1,97.58,857.9
-,0.0,18.51,2.29,259.35,32.1,332.75,41.19,197.21,24.41,789.31,97.71,807.82
-,0.0,10.93,1.73,174.65,27.59,292.97,46.29,154.38,24.39,622.0,98.27,632.93
-,0.0,14.76,1.83,255.0,31.55,343.86,42.54,194.66,24.08,793.52,98.17,808.28
0.00,560.74,2.86,5915.28,30.15,8684.09,44.26,4462.59,22.74,19061.96,97.14,19622.7,
