AMS,MECANIZADOS,URBALUZ,TOTAL_GENERAL,AYUNTAMIENTO,CONSORCIO,MES_ANIO,LUGAR,TOTAL_PRIVADAS,COMLURSA,LUGAR_ST
20,3.05,44,198.11,15.59,154,022025,SANTIAGO,0,297,1
22,10.17,49,51.88,33.03,36,022025,SANTIAGO,0,106,1
30,3.52,44,285.66,35.49,165,022025,SANTIAGO,0,386,1
27,3.57,47,239.34,34.51,133,022025,SANTIAGO,0,367,1
22,2.79,46,271.54,30.04,136,022025,SANTIAGO,0,380,1
38,4.78,41,271.71,37.82,157,022025,SANTIAGO,0,337,1
17,2.36,42,229.09,33.43,192,022025,SANTIAGO,0,319,1
23,3.44,42,201.26,34.18,172,022025,SANTIAGO,0,288,1
21,8.42,44,58.14,36.11,61,022025,SANTIAGO,0,113,1
17,1.98,42,296.3,37.01,207,022025,SANTIAGO,0,386,1
20,2.65,44,223.69,36.26,192,022025,SANTIAGO,0,347,1
20,2.62,44,253.66,21.21,167,022025,SANTIAGO,0,348,1
16,2.12,48,218.5,31.88,154,022025,SANTIAGO,0,369,1
12,1.75,44,242.29,32.63,157,022025,SANTIAGO,0,327,1
10,4.84,43,46.87,33.52,67,022025,SANTIAGO,0,97,1
25,3.05,42,261.56,34.05,199,022025,SANTIAGO,0,359,1
22,2.68,45,240.36,33.24,193,022025,SANTIAGO,0,387,1
16,2.03,46,240.21,37.0,179,022025,SANTIAGO,0,373,1
19,2.46,42,217.94,22.55,213,022025,SANTIAGO,0,335,1
18,2.43,44,221.4,33.97,176,022025,SANTIAGO,0,332,1
24,3.93,36,187.64,27.87,190,022025,SANTIAGO,0,228,1
6,3.1,43,48.66,31.54,65,022025,SANTIAGO,0,91,1
17,2.15,44,230.55,28.6,210,022025,SANTIAGO,0,375,1
20,2.42,45,246.84,30.65,201,022025,SANTIAGO,0,388,1
18,2.29,41,259.35,11.23,197,022025,SANTIAGO,0,332,1
10,1.73,46,174.65,22.1,154,022025,SANTIAGO,0,292,1
14,1.83,42,255.0,33.98,194,022025,SANTIAGO,0,343,1
22,13.4,65,25.94,32.25,9,012025,SANTIAGO,0,109,1
20,2.65,48,243.08,35.89,127,022025,SANTIAGO,0,368,1
37,4.72,54,264.01,34.91,61,012025,SANTIAGO,0,436,1
8425,0.0,96,11046.53,353.75,0,122024,SANTIAGO,0,19472,1
33,4.31,52,269.18,10418.99,66,012025,SANTIAGO,0,410,1
30,3.54,47,274.76,0.0,144,012025,SANTIAGO,0,402,1
25,3.11,47,280.66,0.0,126,012025,SANTIAGO,0,392,1
32,12.71,37,56.77,0.0,71,012025,SANTIAGO,0,95,1
34,7.1,56,54.27,0.0,119,012025,SANTIAGO,0,274,1
60,7.73,45,241.71,0.0,129,012025,SANTIAGO,0,356,1
43,5.41,46,229.54,0.0,159,012025,SANTIAGO,0,370,1
33,4.37,46,239.38,0.0,135,012025,SANTIAGO,0,350,1
28,3.91,48,205.94,0.0,148,012025,SANTIAGO,0,356,1
21,2.57,48,281.15,0.0,126,012025,SANTIAGO,0,398,1
14,5.77,52,57.54,0.0,48,012025,SANTIAGO,0,134,1
26,3.39,55,275.72,0.0,43,012025,SANTIAGO,0,431,1
28,4.54,43,228.35,0.0,92,012025,SANTIAGO,0,268,1
32,4.26,50,256.29,0.0,95,012025,SANTIAGO,0,386,1
32,4.47,49,248.48,0.0,84,012025,SANTIAGO,0,364,1
29,3.8,50,261.13,0.0,94,012025,SANTIAGO,0,393,1
32,4.01,52,265.5,0.0,90,012025,SANTIAGO,0,424,1
33,4.33,53,246.05,0.0,80,012025,SANTIAGO,0,412,1
28,11.63,42,52.72,0.0,61,012025,SANTIAGO,0,105,1
36,5.27,47,253.71,0.0,78,012025,SANTIAGO,0,330,1
31,4.21,52,276.41,0.0,44,012025,SANTIAGO,0,394,1
36,4.82,53,274.03,0.0,41,012025,SANTIAGO,0,406,1
35,4.61,53,263.06,0.0,62,012025,SANTIAGO,0,408,1
