AMS,MECANIZADOS,URBALUZ,TOTAL_GENERAL,AYUNTAMIENTO,CONSORCIO,MES_ANIO,LUGAR,TOTAL_PRIVADAS,COMLURSA,LUGAR_ST,SUMA_COMP,ERROR_TOTAL,ERROR_PCT
20,3.05,44,379.64,15.59,154,022025,SANTIAGO,0,297,1,379.64,181.52999999999997,0.478163523337899
22,10.17,49,220.2,33.03,36,022025,SANTIAGO,0,106,1,220.2,168.32,0.7643960036330608
30,3.52,44,499.01,35.49,165,022025,SANTIAGO,0,386,1,499.01,213.34999999999997,0.42754654215346377
27,3.57,47,479.08,34.51,133,022025,SANTIAGO,0,367,1,479.08,239.73999999999998,0.5004174668113884
38,4.78,41,458.6,37.82,157,022025,SANTIAGO,0,337,1,458.6,186.89000000000004,0.40752289576973405
17,2.36,42,413.78999999999996,33.43,192,022025,SANTIAGO,0,319,1,413.78999999999996,184.69999999999996,0.4463616810459411
23,3.44,42,390.62,34.18,172,022025,SANTIAGO,0,288,1,390.62,189.36,0.4847678050279044
21,8.42,44,222.53,36.11,61,022025,SANTIAGO,0,113,1,222.53,164.39,0.7387318563789151
16,2.12,48,467.0,31.88,154,022025,SANTIAGO,0,369,1,467.0,248.5,0.5321199143468951
12,1.75,44,417.38,32.63,157,022025,SANTIAGO,0,327,1,417.38,175.09,0.4194978197326178
10,4.84,43,188.36,33.52,67,022025,SANTIAGO,0,97,1,188.36,141.49,0.751167976215757
25,3.05,42,463.1,34.05,199,022025,SANTIAGO,0,359,1,463.1,201.54000000000002,0.43519758151587135
19,2.46,42,421.01,22.55,213,022025,SANTIAGO,0,335,1,421.01,203.07,0.48234008693380204
18,2.43,44,430.4,33.97,176,022025,SANTIAGO,0,332,1,430.4,208.99999999999997,0.4855947955390334
24,3.93,36,319.8,27.87,190,022025,SANTIAGO,0,228,1,319.8,132.16000000000003,0.4132582864290182
6,3.1,43,174.64,31.54,65,022025,SANTIAGO,0,91,1,174.64,125.97999999999999,0.7213696747595053
14,1.83,42,434.81,33.98,194,022025,SANTIAGO,0,343,1,434.81,179.81,0.41353694717232814
22,13.4,65,241.65,32.25,9,012025,SANTIAGO,0,109,1,241.65,215.71,0.8926546658390234
37,4.72,54,566.63,34.91,61,012025,SANTIAGO,0,436,1,566.63,302.62,0.5340698515786315
33,4.31,52,10918.3,10418.99,66,012025,SANTIAGO,0,410,1,10918.3,10649.119999999999,0.9753459787695886
